"yyyymm","rstar","rstar_l95","rstar_u95"
196003,1.45809877095614,0.517505760708784,2.39407389586855
196006,1.45592545480139,0.521406426050861,2.39037303377682
196009,1.45696066963985,0.524056773974056,2.3865010796142
196012,1.46057931641015,0.526585967608692,2.38799041331931
196103,1.4647261750257,0.536145805952379,2.39141277322515
196106,1.46954367101957,0.538985507619226,2.39336754010551
196109,1.47531663238156,0.553453865664869,2.39426158175585
196112,1.48077673669503,0.563007233665774,2.39314706349674
196203,1.48506385647974,0.571721309370166,2.39927973949092
196206,1.48650588277041,0.573792455795345,2.40202533150518
196209,1.49368872041478,0.577503278643723,2.40291948141678
196212,1.49577872468193,0.585196074282933,2.40163382793132
196303,1.50290213363429,0.59024377222919,2.40505845872728
196306,1.50754789156773,0.597988075560615,2.40471171789259
196309,1.51091172048187,0.601035072432922,2.40853052310075
196312,1.51700645364902,0.608118414408323,2.41219611030678
196403,1.52328329847957,0.61745626116363,2.416802810278
196406,1.52929115487604,0.626781924689025,2.42083510316873
196409,1.53426512635269,0.633383075716257,2.42427326386922
196412,1.54204934059093,0.643759278335362,2.42746642502601
196503,1.54802094357226,0.6504481071069,2.43356729863742
196506,1.55540707591253,0.659095118225676,2.4392016799594
196509,1.56382029795696,0.670253996884501,2.44152525891514
196512,1.57700292372225,0.687043813258131,2.45443657918047
196603,1.5890510487941,0.702576657516377,2.45967077725899
196606,1.59736276501317,0.715271797152671,2.46695003688188
196609,1.61055206591324,0.733004616576534,2.47967882266684
196612,1.62129125711562,0.744150094614084,2.48472847280223
196703,1.63000329277232,0.753850039917267,2.48847398084885
196706,1.64565760474439,0.775303148906808,2.50301401699087
196709,1.66086515281807,0.793476090949984,2.51939982117012
196712,1.68009973450936,0.814063623696094,2.53798342925998
196803,1.69100702199027,0.826372728549549,2.54782761682076
196806,1.70106644175508,0.841939345191529,2.55406791246197
196809,1.71144971603868,0.852456209571946,2.56000113402742
196812,1.72813805381339,0.875960923544511,2.58052963991059
196903,1.75005900240565,0.899788614650861,2.59763863411388
196906,1.76068037796723,0.9113873655627,2.60518332187683
196909,1.77502471248668,0.92704555544348,2.62011934553905
196912,1.79043245489274,0.94628252798148,2.63393856687177
197003,1.80320831546846,0.959605377166742,2.63978416783684
197006,1.81934258715892,0.975317492298532,2.65903753266523
197009,1.82688742177284,0.985212706373534,2.66543167049681
197012,1.82820896673787,0.99111121453617,2.66564904638728
197103,1.83394160928831,0.99725675880142,2.66768580596939
197106,1.84845439044706,1.01563284720764,2.67799369236639
197109,1.85946414998994,1.03122326451652,2.68781160339764
197112,1.87166038662258,1.03738262543717,2.69781558822468
197203,1.88494001123772,1.05297598411104,2.71087803649483
197206,1.90122129342779,1.07255006767819,2.72922723524244
197209,1.91166358493472,1.08585183042787,2.73724036774708
197212,1.9225336441208,1.09760245102368,2.75157693641191
197303,1.95062140522858,1.12498108890829,2.77800968956507
197306,1.96199294210214,1.13607463923298,2.7811489207452
197309,1.9805416060082,1.16093432219259,2.80109226686973
197312,1.98889500357024,1.16826693892635,2.80625464222793
197403,2.00217285818559,1.17920891244253,2.8196003637862
197406,2.02390336760087,1.19813927546856,2.84320607068001
197409,2.03975805971798,1.21071342819917,2.86315232145413
197412,2.04368542072685,1.21633896350893,2.86341786776778
197503,2.05094460226211,1.22721406477861,2.86997968543693
197506,2.06737877964149,1.24668867134162,2.88670309721628
197509,2.07661888339694,1.25704657476636,2.89019305090192
197512,2.0806633434,1.26867279157583,2.89110540499236
197603,2.08551806787984,1.27637826025479,2.88718414502365
197606,2.09282264900896,1.28687799200059,2.8903016746349
197609,2.09603969709512,1.29177559771652,2.88651191443716
197612,2.09671222189345,1.29652289557593,2.88818445388125
197703,2.10500698556406,1.30806706438389,2.89104766808083
197706,2.11487092881555,1.31921125615309,2.90238987136365
197709,2.12486200081556,1.33021839338972,2.90617536043706
197712,2.13562155628292,1.3430512104634,2.92150028741313
197803,2.15122881621216,1.35719087952196,2.93997039582457
197806,2.16538444435994,1.37224288167048,2.95564064832667
197809,2.17867891795506,1.38033101049227,2.97264751453077
197812,2.1937014073932,1.39266986323212,2.99324766388989
197903,2.21002823780783,1.39814084498495,3.01778155400002
197906,2.21434820978182,1.39692777493305,3.01644107620268
197909,2.22425026071224,1.40105543292376,3.03423370820806
197912,2.25329405259217,1.42503154720432,3.06558562743688
198003,2.28733558549555,1.45829787242767,3.10230751575541
198006,2.28214106375305,1.45457738283126,3.09160787334996
198009,2.29826174727061,1.46961051420393,3.11279509374084
