"yyyymm","rstar","rstar_l95","rstar_u95"
196003,NA,NA,NA
196006,NA,NA,NA
196009,NA,NA,NA
196012,NA,NA,NA
196103,NA,NA,NA
196106,NA,NA,NA
196109,NA,NA,NA
196112,NA,NA,NA
196203,NA,NA,NA
196206,NA,NA,NA
196209,NA,NA,NA
196212,NA,NA,NA
196303,NA,NA,NA
196306,NA,NA,NA
196309,NA,NA,NA
196312,NA,NA,NA
196403,NA,NA,NA
196406,NA,NA,NA
196409,NA,NA,NA
196412,NA,NA,NA
196503,NA,NA,NA
196506,NA,NA,NA
196509,NA,NA,NA
196512,NA,NA,NA
196603,NA,NA,NA
196606,NA,NA,NA
196609,NA,NA,NA
196612,NA,NA,NA
196703,NA,NA,NA
196706,NA,NA,NA
196709,NA,NA,NA
196712,NA,NA,NA
196803,NA,NA,NA
196806,NA,NA,NA
196809,NA,NA,NA
196812,NA,NA,NA
196903,NA,NA,NA
196906,NA,NA,NA
196909,NA,NA,NA
196912,NA,NA,NA
197003,NA,NA,NA
197006,NA,NA,NA
197009,NA,NA,NA
197012,NA,NA,NA
197103,NA,NA,NA
197106,NA,NA,NA
197109,NA,NA,NA
197112,1.64183117600965,1.11656504760546,2.1116793819362
197203,1.45068927520403,0.701092759010081,1.9611761591279
197206,1.48634228304412,0.849496532963796,1.99876593114244
197209,1.43306874517441,0.815113378009979,1.94163960944034
197212,1.45040420728884,0.930228115463582,1.91806380836974
197303,1.47422505505535,0.954525160774219,1.93825572627607
197306,1.41286560374663,0.846029548098721,1.91225488868434
197309,1.43529883576183,0.859076823262564,1.93309506753387
197312,1.38157386395109,0.813654254108909,1.87226445568598
197403,1.47562186826058,0.952763927931185,2.00153880366263
197406,1.50808934250867,0.97667837124517,2.07300467256649
197409,1.53262701520761,1.00330300900397,2.12217312508354
197412,1.51269659934245,0.953974025928433,2.15685460285716
197503,1.33980834212567,0.159162296053983,2.21751193070238
197506,1.49970435360926,0.814029874878352,2.16299833298502
197509,1.54831467220959,0.743451156094357,2.34337742858974
197512,1.43532301372329,0.512271875544499,2.31502876723724
197603,1.42923512230178,0.645309937765773,2.28482332673185
197606,1.64509653496613,0.998984267367662,2.39255972141054
197609,1.52595288973519,0.815910771558066,2.33848238835503
197612,1.46736264270433,0.798016254752662,2.26998787488406
197703,1.42939701631476,0.676467296816978,2.26570964277165
197706,1.39100924283619,0.672246505955258,2.23523928238161
197709,1.43321077919936,0.741040218774261,2.25231924262924
197712,1.42840492466652,0.743918422660156,2.27196828217804
197803,1.42180593137936,0.706833788483823,2.21173612170947
197806,1.41936733763574,0.671745901509431,2.24818230539189
197809,1.43066283029869,0.721783539726693,2.27575056718738
197812,1.41250882872523,0.685004949365149,2.28253632154578
197903,1.36619314395807,0.616682911004746,2.17715178522403
197906,1.30480770637407,0.519772285656833,2.13742755684503
197909,1.20769610384301,0.423892870075399,2.0754549545676
197912,1.26584615947297,0.285725829149741,2.28372236638169
198003,1.0986305289661,0.303993069847904,1.98178058469403
198006,1.35184565014675,0.548155798613922,2.22398036686112
198009,1.36651166305385,0.56434582579413,2.27914036072847
198012,1.1155685695577,0.260432987429087,1.96588498056224
198103,1.02423182977828,0.103337582525845,1.93103643304243
198106,1.04576031831604,-0.290431850901446,2.54532659034343
198109,1.20216679376131,-0.294379408446071,2.75816137452646
198112,1.27146736325217,-0.072307615089352,2.43432186087206
198203,1.45794420510154,-0.17105524904381,2.83298946894236
198206,1.86326711392238,-0.00578751770403643,3.29491709430777
198209,1.4503169264751,-0.196686083427442,2.9222711035357
198212,1.60156704105708,-0.0129280365474492,2.89563786035793
198303,1.62705777756619,0.0795994475902155,2.93102333701239
198306,1.57641396802608,-0.0501324042645889,2.83226849798042
198309,1.69088956135947,-0.032590959330615,2.97567719762229
198312,2.0072856049605,0.402695038647788,3.23588809157476
198403,2.50670698630353,1.18328331424925,3.52802574680856
198406,2.54954665061704,1.25423272309859,3.54538370417204
198409,2.69090573848666,1.42552467697066,3.66317992664648
198412,2.65987455295037,1.47106040555174,3.62831359619204
198503,2.31888945738024,0.686745409829795,3.51067470453024
198506,2.34733783899321,0.708078171728099,3.49878698795035
198509,2.64915473363241,1.44020449718095,3.61520301685608
198512,2.22759834933297,0.572913462848195,3.38506088082298
198603,2.21915257622394,0.668574154131879,3.33536103560374
198606,1.98894563536885,0.386761570423686,3.12497147420668
198609,1.98079694805187,0.452660406024959,3.06449671919906
198612,1.8489015908335,0.260831036919083,2.99216513660861
198703,1.88764985773732,0.319956494864081,2.96867441795387
198706,1.85681349227293,0.350101545854064,2.91948863150875
198709,1.80786025707344,0.219016766277626,2.89610800160637
198712,1.90138863497875,0.439137436442553,2.95591114197469
198803,1.84914643063576,0.340887883287469,2.9015736198162
198806,1.88471092434266,0.41872847867212,2.9178047799492
198809,1.93334680061683,0.464548327634733,2.98279035653736
198812,1.94555225007081,0.446812121763697,3.04176350318624
198903,2.06080778041379,0.65291176081471,3.12067189832314
198906,2.13189720418157,0.681396039706615,3.18627935778266
198909,1.98292855286331,0.515816705176336,3.0432099830552
198912,1.99906621452463,0.547796592145669,3.02759073950007
199003,2.03754290103109,0.649951676801828,3.08683928621013
199006,2.05512867165052,0.68063674503733,3.09348912936259
199009,2.14420543163701,0.772457980929542,3.19187355240635
199012,2.13997100745298,0.771080717690933,3.14541579593793
199103,2.0885789638523,0.698651077042975,3.14009997124161
199106,2.05348575570537,0.608260615618136,3.08212780449928
199109,2.07034712724133,0.672892083881849,3.07770719681168
199112,1.98494045839333,0.54451639271456,3.01527848122779
199203,2.01273342955578,0.926899588021953,2.96277613924143
199206,2.0172058484226,0.956203416988595,2.94020822207449
199209,1.96028425259872,0.907240769702953,2.86858734372101
199212,1.93496568631666,0.868796941184252,2.90101128697407
199303,2.17252930334403,1.23507679778607,3.07475450939752
199306,2.16060781520141,1.2730562505199,3.0335366440951
199309,2.15368458180151,1.25325495613548,3.02692720787393
199312,2.13255105620856,1.2167839320437,3.01309943271843
199403,2.05801066617735,1.15055974357696,2.94801941388011
199406,2.07681576239561,1.18859643661181,2.96852654431189
199409,2.06571058373593,1.14438402602787,2.93894067157254
199412,2.13488874768813,1.26475544277928,3.00602276385241
199503,2.35406967674765,1.43111548095594,3.24562966767259
199506,2.37342942737114,1.46899367639316,3.22994222315542
199509,2.31983439311478,1.40163598743534,3.21863212811295
199512,2.30871958879325,1.38294052362745,3.18110680847209
199603,2.21599097728578,1.37736432393295,3.06602066050513
199606,2.23894641523876,1.39750386682008,3.07269504678115
199609,2.23808712776112,1.38370024591873,3.06105171188459
199612,2.26820106542156,1.42077873751601,3.06365598653301
199703,2.26638962052675,1.43376447794955,3.09654740349424
199706,2.29685115888139,1.42807640624212,3.12258934702216
199709,2.35077988150458,1.5171073072873,3.1759844091937
199712,2.35487271247709,1.50225116210234,3.201516370534
199803,2.3229870511289,1.455384507344,3.15691918512181
199806,2.32804445748953,1.47417953759938,3.17004704746033
199809,2.33464689355916,1.46097576686287,3.18774179371708
199812,2.31945349186469,1.45745695202073,3.19409465631474
199903,2.25229743111584,1.41488867258857,3.06694905207113
199906,2.20354126518749,1.32956620316993,3.01884626995106
199909,2.25602602111924,1.38562446227056,3.08101058593931
199912,2.31420871137701,1.48449143179585,3.1624147375615
200003,2.36834912519039,1.54558012170804,3.16459840132591
200006,2.38136959868949,1.56270771511455,3.15798476287413
200009,2.43046975435575,1.59642526873922,3.24821056387403
200012,2.40514805833815,1.56197761082668,3.23554271568366
200103,2.42814497230487,1.87980667199442,2.98361927266621
200106,2.43549605350299,1.86664223476302,2.98146908076859
200109,2.43595719004084,1.8794153310088,3.00608732717162
200112,2.40637310479053,1.83184342985397,2.98722213496263
200203,2.48321382138054,1.95277224994044,3.03177158035697
200206,2.45005950535087,1.88912156475969,3.0151745904698
200209,2.43205564421349,1.86774283215384,2.9964927093644
200212,2.41391537866545,1.83485944760162,2.99473085822918
200303,2.30324685597527,1.73756132917092,2.89380236698756
200306,2.32817792991636,1.75752337519277,2.94144105678488
200309,2.3081052514761,1.71052551043487,2.93828339476801
200312,2.28616965491802,1.66690610056345,2.90927615905255
200403,2.19760121722375,1.56343195556895,2.86392689788096
200406,2.2282399092971,1.61290884924564,2.88335453307007
200409,2.22939701026741,1.59883350558017,2.88750302619884
200412,2.20159496580994,1.56257897846581,2.8792967228123
200503,1.99654341221045,1.38354768672938,2.63417603437723
200506,1.93167105739952,1.31243463027262,2.58420240034998
200509,1.94435304166333,1.3340103539576,2.5976281364099
200512,1.94567914776916,1.32618959890643,2.60767977967946
200603,1.82712543469758,1.2619224613103,2.38601128009445
200606,1.83146082384985,1.26479731875613,2.39993329004324
200609,1.80817844452109,1.25065912741755,2.3953752076997
200612,1.88382671901718,1.28870706046684,2.47432517965084
200703,1.75654151690148,1.2301973882766,2.30729230611405
200706,1.75580579940698,1.20225001290133,2.29989732002166
200709,1.7375884338025,1.20517218096014,2.30379538572056
200712,1.70325528274554,1.14722248476381,2.26831570894956
200803,1.67582999577791,1.13552702590454,2.20501043822511
200806,1.63911311449612,1.07993449653635,2.20321846344847
200809,1.6408986734149,1.05860553823746,2.19893908171188
200812,1.6866050309652,1.12151004789467,2.25349593963302
200903,1.67031740135526,1.11158893352402,2.24282008498216
200906,1.64767164411737,1.06653719090215,2.21079960572499
200909,1.63554598851746,1.03206485681101,2.20867133119905
200912,1.6195080547301,1.01812936939962,2.22372490981336
201003,1.51490800041822,0.945074175861798,2.10397595453529
201006,1.50851265293582,0.936402130791877,2.12387641065161
201009,1.52108204244787,0.930686691742149,2.12138719844406
201012,1.49772046057793,0.916899183703574,2.13216582208258
201103,1.38647517809806,0.825165054294758,2.00805864044272
201106,1.38509581619411,0.779446624566413,2.01293136570161
201109,1.36901406718078,0.74939943401329,1.99227742064888
201112,1.39007267729285,0.767181174507035,2.04362246738689
201203,1.28294918902556,0.606895489537674,2.04044596970492
201206,1.3321895863156,0.612127701838848,2.08278785846204
201209,1.29012849896492,0.597745260669465,2.04054625272096
201212,1.30961544037555,0.593721725292967,2.0372902015915
201303,1.24399266319163,0.500134904158511,2.04281729355657
201306,1.2591097181831,0.548080171098804,2.05284010359628
201309,1.23086997139273,0.497691709436273,2.01800436008251
201312,1.1812532001488,0.453735947163155,2.00870299549316
201403,1.17936314517406,0.413382206951035,2.02781757972543
201406,1.31175102218168,0.342511600316487,2.31989435622964
201409,1.27028489920497,0.327722811847757,2.33720219214065
201412,1.21621356815879,0.255849845831945,2.27211646471329
201503,1.05122918173563,0.0854306496043858,2.12778178855037
201506,1.07920194073582,0.133836825406916,2.15243893345266
201509,1.13997172038829,0.378867102615643,2.0058957689353
201512,1.12911314036772,0.376269444743634,2.03799790121201
201603,1.11597247235483,0.364767868530836,2.0328149680424
201606,1.08403330636801,0.27234493006343,2.05545900514435
201609,1.08073365838294,0.279794327584857,2.02082683429702
201612,1.08772129306652,0.325781550190385,2.00071832717152
201703,1.00092165658225,0.22848732693373,1.97123829073621
201706,1.04730309768214,0.267101062900636,1.98687066730465
201709,1.04914255210931,0.24550646787958,2.00304098787391
201712,1.03158412339154,0.246651189822129,2.03530549691045
201803,1.01410570631235,0.272075749551576,1.99969997249679
