"yyyymm","date","pi","tb3m","rr","g","ga","gma","lfg","lfga","lfgma","rstar"
197409,1974-07-01,10.4140259252597,8.19,-2.22402592525969,-3.8917067329308,-0.616389489844948,3.56200510877928,-2.24349173969536,-0.176492643714443,1.40837957039816,0.304754824334795
197412,1974-10-01,10.9000275598321,7.36,-3.5400275598321,-1.60308043154842,-1.94526004969742,3.48653159450542,-5.98560356352422,-2.2622350812779,1.19565188224791,-0.783422025721575
197503,1975-01-01,9.84141121777116,5.75,-4.09141121777116,-4.86198438067262,-2.3266444202493,3.12134043840635,-12.904062691879,-5.47983596103618,0.750451910994174,-0.876958067582501
197506,1975-04-01,8.27409021326369,5.39333333333333,-2.88075687993035,3.07001615433933,-1.82168884770313,3.0623067969524,-3.27270766339858,-6.1014664146243,0.539162033511325,-0.309956951918424
197509,1975-07-01,7.46420175602731,6.33,-1.13420175602731,6.55638790890762,0.790334812756477,3.02514973508979,4.08376075590624,-4.5196532907239,0.658611963296263,0.476539165344339
197512,1975-10-01,6.61372379289906,5.62666666666667,-0.987057126232395,5.35664429142528,2.5302659934999,2.92596899539198,5.70175756912796,-1.59781300756086,0.697782006625038,0.411252907540539
197603,1976-01-01,5.84217598531143,4.91666666666667,-0.925509318644759,8.93220807268662,5.97881410683971,2.90533621970633,5.75382915055869,3.06665995304858,0.74287033277046,0.317713494418809
197606,1976-04-01,5.44883534679088,5.15666666666667,-0.292168680124215,3.01092995650478,5.96404255738108,2.93974484811642,0.895548466736074,4.10872398558224,0.694168880360948,0.477140160210954
197609,1976-07-01,5.09581869797668,5.15,0.0541813020233164,2.02870241980477,4.83212118510536,2.9194793135329,1.85360324836878,3.55118460869788,0.721166298840927,0.587072448096246
197612,1976-10-01,4.99855898710506,4.67333333333333,-0.325225653771729,2.99109675530644,4.24073430107565,2.90888741393685,0.872335767261845,2.34382915823135,0.765391063281911,0.489240381138076
197703,1977-01-01,5.67496733850321,4.63,-1.04496733850321,4.62718904806536,3.16447954492034,2.93318049066761,3.98954925857637,1.90275918523577,0.871126243183564,0.324687548942436
197706,1977-04-01,6.54125635471665,4.84,-1.70125635471665,7.77453904760179,4.35538181769459,3.11877540793326,8.8777290756898,3.8983043374742,1.19245589038124,-0.013708325979196
197709,1977-07-01,6.53697831024829,5.49666666666667,-1.04031164358162,7.01470205027093,5.60188172531113,3.20818768548724,3.11486552574536,4.21361990681834,1.20884795834433,0.186018066260031
197712,1977-10-01,6.39464693358209,6.11,-0.284646933582093,0.0420079955162578,4.86460953536358,3.12906473270498,4.04536064453573,5.00687612613682,1.26438801984016,0.435304764214933
197803,1978-01-01,6.26960491109152,6.39333333333333,0.123728422241814,1.38935841778576,4.05515187779368,2.96276270955097,2.06942195052378,4.52684429912367,1.30736747141953,0.51669180492487
197806,1978-04-01,6.6134131243448,6.47666666666667,-0.136746457678136,15.2574456565446,5.92587853002939,3.17673866521476,11.1864559310774,5.10402601297058,1.51024307859026,0.362471302940553
197809,1978-07-01,6.85925288296869,7.31333333333333,0.454080450364642,3.8926558350127,5.14536697621484,3.20228776425791,3.24125081290916,5.13562233476152,1.53596346485505,0.472693123575263
197812,1978-10-01,7.307402292603,8.57,1.262597707397,5.32924980972496,6.46717742976701,3.29110913016915,4.31721170656516,5.20358510026888,1.58542156910542,0.743098786967078
197903,1979-01-01,7.51447635654827,9.38333333333333,1.86885697678506,0.793942251727486,6.31832338825244,3.15666270068654,2.78268230483114,5.38190018884572,1.5124399751559,0.862227282653729
197906,1979-04-01,8.16286980260741,9.37666666666667,1.21379686405926,0.483956872042768,2.62495119212698,3.13674098208455,1.2034071592808,2.88613799589656,1.52160604113483,0.723416313373708
197909,1979-07-01,8.86032831145469,9.67333333333333,0.813005021878643,2.8619128774757,2.36726545274273,3.14589415129273,3.30597156198209,2.9023181831648,1.57510100631448,0.640011035425362
197912,1979-10-01,9.37534823565085,11.8433333333333,2.46798509768248,1.03419714089341,1.29350228553484,3.21549618448193,1.36610949490077,2.1645426302487,1.65799060975317,1.03332024427253
