Date,rstar
7/1/2014,0.639028411
10/1/2014,0.489253408
1/1/2015,0.439700529
4/1/2015,0.539344822
7/1/2015,0.49102809
10/1/2015,0.370061846
1/1/2016,0.449819089
4/1/2016,0.484724465
7/1/2016,0.537950569
10/1/2016,0.404858319
1/1/2017,0.387631994
4/1/2017,0.287137096
7/1/2017,0.35368462
10/1/2017,0.481839556
1/1/2018,0.566787196
