"yyyymm","date","pi","tb3m","rr","rstar"
196003,1960-01-01,1.66469581818416,3.87333333333333,2.20863751514917,NA
196006,1960-04-01,1.79150536892472,2.99333333333333,1.20182796440862,NA
196009,1960-07-01,1.58217845496185,2.36,0.777821545038153,NA
196012,1960-10-01,1.48500166811272,2.30666666666667,0.821664998553949,NA
196103,1961-01-01,1.53387722006406,2.35,0.816122779935939,NA
196106,1961-04-01,1.00545225728088,2.30333333333333,1.29788107605245,NA
196109,1961-07-01,0.986623609935444,2.30333333333333,1.31670972339789,NA
196112,1961-10-01,0.652779442597984,2.46,1.80722055740202,NA
196203,1962-01-01,0.909531910204997,2.72333333333333,1.81380142312834,NA
196206,1962-04-01,1.26555530644921,2.71666666666667,1.45111136021746,NA
196209,1962-07-01,1.16270614197442,2.84,1.67729385802558,NA
196212,1962-10-01,1.34657712886996,2.81333333333333,1.46675620446337,NA
196303,1963-01-01,1.18952921982354,2.90666666666667,1.71713744684313,NA
196306,1963-04-01,0.982986284031906,2.94,1.95701371596809,NA
196309,1963-07-01,1.19702269406941,3.29333333333333,2.09631063926393,NA
196312,1963-10-01,1.27207597695564,3.49666666666667,2.22459068971102,NA
196403,1964-01-01,1.46683091795485,3.53,2.06316908204515,NA
196406,1964-04-01,1.55367775268265,3.47666666666667,1.92298891398402,NA
196409,1964-07-01,1.41632018729059,3.49666666666667,2.08034647937608,NA
196412,1964-10-01,1.38228478418498,3.68333333333333,2.30104854914835,NA
196503,1965-01-01,1.22140026359259,3.89,2.66859973640741,NA
196506,1965-04-01,1.49417721305891,3.87333333333333,2.37915612027442,NA
196509,1965-07-01,1.52836311331814,3.86666666666667,2.33830355334852,NA
196512,1965-10-01,1.49663508955484,4.16666666666667,2.67003157711182,NA
196603,1966-01-01,1.95261743094752,4.61,2.65738256905248,NA
196606,1966-04-01,2.26836796916552,4.58666666666667,2.31829869750115,NA
196609,1966-07-01,2.66302996805345,5.04333333333333,2.38030336527988,NA
196612,1966-10-01,3.12915879100224,5.21,2.08084120899776,NA
196703,1967-01-01,2.6485169604884,4.51333333333333,1.86481637284493,NA
196706,1967-04-01,2.30514467258822,3.66,1.35485532741178,NA
196709,1967-07-01,2.45704192579588,4.3,1.84295807420412,NA
196712,1967-10-01,2.53737098206797,4.75333333333333,2.21596235126537,NA
196803,1968-01-01,3.29463789427322,5.05,1.75536210572678,NA
196806,1968-04-01,3.83445324043361,5.52,1.68554675956639,NA
196809,1968-07-01,3.94652799980011,5.19666666666667,1.25013866686656,NA
196812,1968-10-01,4.20032519524796,5.58666666666667,1.38634147141871,NA
196903,1969-01-01,4.12706160783376,6.09333333333333,1.96627172549957,NA
196906,1969-04-01,4.38544848818321,6.19666666666667,1.81121817848346,NA
196909,1969-07-01,4.57784733779198,7.02333333333333,2.44548599554135,NA
196912,1969-10-01,4.62385712605156,7.35333333333333,2.72947620728178,NA
197003,1970-01-01,4.7971648216723,7.21,2.4128351783277,NA
197006,1970-04-01,4.62691383672387,6.67666666666667,2.0497528299428,NA
197009,1970-07-01,4.3729621624697,6.32666666666667,1.95370450419697,NA
197012,1970-10-01,4.51050814907701,5.35333333333333,0.842825184256325,NA
197103,1971-01-01,4.30312848045542,3.84,-0.463128480455421,NA
197106,1971-04-01,4.33461648232667,4.25,-0.0846164823266697,NA
197109,1971-07-01,4.34642346375411,5.01,0.663576536245888,NA
197112,1971-10-01,3.67701193989269,4.23,0.552988060107307,1.28787807769594
197203,1972-01-01,3.78598611574836,3.43666666666667,-0.349319449081697,0.933687709186368
197206,1972-04-01,3.23046702895917,3.77,0.539532971040828,1.20252463136336
197209,1972-07-01,3.12637121850208,4.22,1.09362878149792,1.32341043128666
197212,1972-10-01,3.3183114243768,4.86333333333333,1.54502190895654,1.43838160234802
197303,1973-01-01,3.46818992707938,5.7,2.23181007292062,1.60804159955483
197306,1973-04-01,4.79613753139554,6.60333333333333,1.80719580193779,1.50298983158092
197309,1973-07-01,5.72411895867022,8.32333333333333,2.59921437466311,1.74554351162525
197312,1973-10-01,6.93951279596061,7.5,0.560487204039388,1.32436949501872
197403,1974-01-01,8.66597595457819,7.61666666666667,-1.04930928791152,0.956620137361009
197406,1974-04-01,9.55151806190169,8.15333333333333,-1.39818472856835,0.762590597019324
197409,1974-07-01,10.4140259252597,8.19,-2.22402592525969,0.278185291017089
197412,1974-10-01,10.9000275598321,7.36,-3.5400275598321,-0.606974397329989
197503,1975-01-01,9.84141121777116,5.75,-4.09141121777116,-1.21891137092307
197506,1975-04-01,8.27409021326369,5.39333333333333,-2.88075687993035,-0.432726968357223
197509,1975-07-01,7.46420175602731,6.33,-1.13420175602731,0.352420465990629
197512,1975-10-01,6.61372379289906,5.62666666666667,-0.987057126232395,0.369400840705765
197603,1976-01-01,5.84217598531143,4.91666666666667,-0.925509318644759,0.357817213102785
197606,1976-04-01,5.44883534679088,5.15666666666667,-0.292168680124215,0.480818581051788
197609,1976-07-01,5.09581869797668,5.15,0.0541813020233164,0.546169654908463
197612,1976-10-01,4.99855898710506,4.67333333333333,-0.325225653771729,0.479814380015348
197703,1977-01-01,5.67496733850321,4.63,-1.04496733850321,0.248243819917058
197706,1977-04-01,6.54125635471665,4.84,-1.70125635471665,0.0564111511450592
197709,1977-07-01,6.53697831024829,5.49666666666667,-1.04031164358162,0.183088383425134
197712,1977-10-01,6.39464693358209,6.11,-0.284646933582093,0.398604837824137
197803,1978-01-01,6.26960491109152,6.39333333333333,0.123728422241814,0.464521170672096
197806,1978-04-01,6.6134131243448,6.47666666666667,-0.136746457678136,0.363243168380779
197809,1978-07-01,6.85925288296869,7.31333333333333,0.454080450364642,0.508232741877272
197812,1978-10-01,7.307402292603,8.57,1.262597707397,0.664653876768089
197903,1979-01-01,7.51447635654827,9.38333333333333,1.86885697678506,0.899474846352106
197906,1979-04-01,8.16286980260741,9.37666666666667,1.21379686405926,0.712388229337583
197909,1979-07-01,8.86032831145469,9.67333333333333,0.813005021878643,0.62960423166358
197912,1979-10-01,9.37534823565085,11.8433333333333,2.46798509768248,1.0320757666753
198003,1980-01-01,10.4646560955766,13.3533333333333,2.88867723775677,1.17399906110075
198006,1980-04-01,10.189173310567,9.61666666666667,-0.572506643900345,0.490878354285881
198009,1980-07-01,10.0534093873582,9.15333333333333,-0.90007605402486,0.385100761526348
198012,1980-10-01,10.1059541898156,13.6133333333333,3.50737914351774,1.04596785427492
198103,1981-01-01,9.71957622277224,14.39,4.67042377722776,1.33321840102679
198106,1981-04-01,8.96058029857008,14.9066666666667,5.94608636809659,1.70662117085927
198109,1981-07-01,8.28036698500991,15.0533333333333,6.77296634832342,2.03723000642762
198112,1981-10-01,7.35194536822918,11.75,4.39805463177082,1.58207753389392
198203,1982-01-01,6.04064969844069,12.8133333333333,6.77268363489264,2.09544310727131
198206,1982-04-01,5.33656539401486,12.42,7.08343460598514,2.26483595213376
198209,1982-07-01,5.27429834582365,9.31666666666667,4.04236832084302,1.72456033353847
198212,1982-10-01,4.86891807461634,7.90666666666667,3.03774859205033,1.60470191306478
198303,1983-01-01,4.48121170993931,8.10666666666667,3.62545495672735,1.70376563016063
198306,1983-04-01,4.44928105903739,8.39666666666667,3.94738560762928,1.7546273369726
198309,1983-07-01,4.19422308368933,9.14,4.94577691631067,1.96254332639827
198312,1983-10-01,3.74954991513867,8.8,5.05045008486133,2.02822521489762
198403,1984-01-01,3.95948685930683,9.17,5.21051314069317,2.11574775930366
198406,1984-04-01,4.00588271428068,9.79666666666667,5.79078395238598,2.25749901999187
198409,1984-07-01,3.468541533526,10.32,6.851458466474,2.49370703816521
198412,1984-10-01,3.42862009934009,8.80333333333333,5.37471323399325,2.27436487368994
198503,1985-01-01,3.54643656583362,8.18333333333333,4.63689676749971,2.19915344509378
198506,1985-04-01,3.42031220123244,7.46,4.03968779876756,2.1745108165229
198509,1985-07-01,3.44250330386382,7.10666666666667,3.66416336280285,2.13977227730217
198512,1985-10-01,3.50478957198481,7.16666666666667,3.66187709468185,2.15752659963335
198603,1986-01-01,3.02948632713393,6.89666666666667,3.86718033953273,2.21913143259082
198606,1986-04-01,2.06972446032125,6.14,4.07027553967875,2.23267803944788
198609,1986-07-01,1.78287437848716,5.52333333333333,3.74045895484617,2.22813845415829
198612,1986-10-01,1.69308339188019,5.35333333333333,3.66024994145314,2.22731484290972
198703,1987-01-01,1.91262270113874,5.53666666666667,3.62404396552792,2.23959315122317
198706,1987-04-01,2.97983602948566,5.65666666666667,2.67683063718101,2.1538846412327
198709,1987-07-01,3.40641868569449,6.04333333333333,2.63691464763884,2.12933063203814
198712,1987-10-01,3.68641428037551,5.86333333333333,2.17691905295783,2.06400145153257
198803,1988-01-01,3.52869067951014,5.72333333333333,2.1946426538232,2.083948498956
198806,1988-04-01,3.68178281906921,6.21,2.52821718093079,2.14516699530897
198809,1988-07-01,3.97153383116002,7.01,3.03846616883998,2.1934270429514
198812,1988-10-01,4.09496677616055,7.72666666666667,3.63169989050612,2.28942610469749
198903,1989-01-01,4.43306922567821,8.54,4.10693077432179,2.38803736327343
198906,1989-04-01,4.65507572719712,8.41,3.75492427280288,2.36475138797941
198909,1989-07-01,3.99867847682991,7.84333333333333,3.84465485650342,2.41228102929452
198912,1989-10-01,3.7800888057725,7.65333333333333,3.87324452756084,2.4343614530775
199003,1990-01-01,4.08272277249386,7.76,3.67727722750614,2.4137123527206
199006,1990-04-01,3.65596350532806,7.74666666666667,4.0907031613386,2.48141690478021
199009,1990-07-01,4.3363823727657,7.47666666666667,3.14028429390097,2.3763874725348
199012,1990-10-01,4.86176296921386,6.99,2.12823703078614,2.22587798312502
199103,1991-01-01,3.93994307823187,6.02333333333333,2.08339025510147,2.25081456828609
199106,1991-04-01,3.57601857908865,5.56,1.98398142091135,2.22171127858928
199109,1991-07-01,3.00370589905246,5.37666666666667,2.37296076761421,2.28074111714048
199112,1991-10-01,2.41540610252535,4.54,2.12459389747465,2.2579989384504
199203,1992-01-01,2.53463032484031,3.89333333333333,1.35870300849302,2.12085719182433
199206,1992-04-01,2.66602821848547,3.68,1.01397178151453,2.0394896985724
199209,1992-07-01,2.62555198549581,3.08333333333333,0.457781347837523,1.95062139085109
199212,1992-10-01,2.61216210066095,3.07,0.457837899339047,1.95095454178979
