"yyyymm","date","pi","tb3m","rr","g","ga","gma","lfg","lfga","lfgma","rstar","rstar.lb","rstar.ub","rr.cycle"
196906,1969-04-01,4.38544848818321,6.19666666666667,1.81121817848346,1.28082561612217,3.02492802342904,4.341663503699,0.836764520123623,2.77250837045084,1.25448730047411,1.76130918372204,-0.90858927454304,4.3728224732887,0.0499089947614783
196909,1969-07-01,4.57784733779198,7.02333333333333,2.44548599554135,2.49578610914867,2.93120158239457,4.42333542904388,1.166172954796,2.51094276857042,1.37732821703629,1.81635211620527,-0.866084240013081,4.43183517863026,0.629133879336056
196912,1969-10-01,4.62385712605156,7.35333333333333,2.72947620728178,-1.74988418667468,2.04963174240707,4.34034746318622,-1.94947464264672,1.4388522237712,1.3377538329468,1.79783317730997,-0.835103324485683,4.37669944591816,0.931643029971727
197003,1970-01-01,4.7971648216723,7.21,2.4128351783277,-0.709529772468187,0.329299441531994,4.10228606330346,-2.10230590611431,-0.512210768460353,1.31239367269423,1.75075619059093,-0.894070966510337,4.34989921844692,0.662078987736624
197006,1970-04-01,4.62691383672387,6.67666666666667,2.0497528299428,0.707154604005922,0.185881688502931,4.15798583627712,-3.93642540815193,-1.70550825052924,1.1147308423475,1.71895297420603,-0.9124274413712,4.29927280764173,0.33079985573673
197009,1970-07-01,4.3729621624697,6.32666666666667,1.95370450419697,3.52781982893831,0.443890118450341,4.22131280020279,-2.67430017044958,-2.66562653184064,1.06237782690047,1.7156319282443,-0.945484642864961,4.26255254992497,0.23807257595263
197012,1970-10-01,4.51050814907701,5.35333333333333,0.842825184256325,-4.13564772350128,-0.15255076575631,4.23971287400642,-3.84908688002135,-3.14052959118429,1.08038911347794,1.7162642873344,-0.912496372377389,4.2496437761835,-0.873439103078073
197103,1971-01-01,4.30312848045542,3.84,-0.463128480455421,10.5694413420785,2.66719201288037,4.43618499594347,1.93222321090509,-2.13189731192944,1.18313103681478,1.74663740169811,-0.917370121801359,4.24825914104959,-2.2097658821537
197106,1971-04-01,4.33461648232667,4.25,-0.0846164823266697,2.27625889805054,3.05946808639153,4.30891045963655,2.34765301079811,-0.560877707191931,1.35749445615824,1.75278411867378,-0.864207051612172,4.27059364878203,-1.83740060100056
197109,1971-07-01,4.34642346375411,5.01,0.663576536245888,3.11515084967553,2.95630084157583,4.22142555196958,-1.08696544119802,-0.16404402487904,1.25920475658463,1.74160275932891,-0.891217210356147,4.28687068157399,-1.078026223083
197112,1971-10-01,3.67701193989269,4.23,0.552988060107307,1.16655410349651,4.28185129832528,4.04994242776866,4.04141619292666,1.80858174335796,1.26346687310188,1.70467073261943,-0.889260038292055,4.24976665455754,-1.15168267251182
197203,1972-01-01,3.78598611574836,3.43666666666667,-0.349319449081697,7.11344301963521,3.41785171771445,4.0492681534055,5.30997124116759,2.65301875092359,1.29377660683926,1.70141781386956,-0.916975561901606,4.2118869012744,-2.05073726295121
197206,1972-04-01,3.23046702895917,3.77,0.539532971040828,9.15722422588559,5.13809304967321,4.17102664837929,1.97911669581607,2.56088467217808,1.29049195924996,1.73113863312485,-0.909386187824314,4.25658881258115,-1.19160566208333
197209,1972-07-01,3.12637121850208,4.22,1.09362878149792,3.66951284479526,5.27668354845314,4.16795943590005,3.07363177518027,3.60103397627265,1.41992630405356,1.76256094296054,-0.854743073589792,4.29365719222916,-0.668932161462526
197212,1972-10-01,3.3183114243768,4.86333333333333,1.54502190895654,6.58789467327949,6.63201869089889,4.29392530385108,3.5969995098899,3.48992980551346,1.58040909058386,1.81402659551058,-0.77185577341478,4.32865730209699,-0.269004686554353
197303,1973-01-01,3.46818992707938,5.7,2.23181007292062,9.72804208811624,7.28566845801915,4.42646679548863,5.33556819680641,3.49632904442316,1.63834031666804,1.85102171309884,-0.737165018686283,4.35289394086932,0.380788359821546
197306,1973-04-01,4.79613753139554,6.60333333333333,1.80719580193779,4.50952594969181,6.1237438889707,4.40968577226434,4.27909200003178,4.07132287047709,1.68267216576123,1.85684034094379,-0.727530323346246,4.34681174333935,-0.0496445390061837
197309,1973-07-01,5.72411895867022,8.32333333333333,2.59921437466311,-2.17951734243798,4.66148634216239,4.16187053122885,2.28053047162255,3.87304754458766,1.74337936785271,1.83869235423446,-0.743115990562724,4.32225681067274,0.760522020428585
197312,1973-10-01,6.93951279596061,7.5,0.560487204039388,3.71240180786145,3.94261312580788,4.18356508866923,2.35736618672959,3.56313921379758,1.74921857244098,1.81816523594886,-0.80585200518191,4.29640066839448,-1.25767803191002
197403,1974-01-01,8.66597595457819,7.61666666666667,-1.04930928791152,-3.33644689846508,0.67649087916255,3.88617322532319,-0.0336591728459013,2.22083237138451,1.6278296897321,1.71879849755365,-0.872694971508116,4.17668009557372,-2.76810778546487
197406,1974-04-01,9.55151806190169,8.15333333333333,-1.39818472856835,1.05019386415464,-0.188342142221742,3.79421457446464,-0.786185849046106,0.954512909115035,1.51928118757001,1.68390317726633,-0.893809229050433,4.12989187567603,-3.0820879058349
197409,1974-07-01,10.4140259252597,8.19,-2.22402592525969,-3.8917067329308,-0.616389489844948,3.56200510877928,-2.24349173969536,-0.176492643714443,1.40837957039816,1.61081039913151,-0.968728488583735,4.0682796877337,-3.83483632439105
197412,1974-10-01,10.9000275598321,7.36,-3.5400275598321,-1.60308043154842,-1.94526004969742,3.48653159450542,-5.98560356352422,-2.2622350812779,1.19565188224791,1.54056947285857,-1.03415949228436,3.97571419248134,-5.08059703269075
197503,1975-01-01,9.84141121777116,5.75,-4.09141121777116,-4.86198438067262,-2.3266444202493,3.12134043840635,-12.904062691879,-5.47983596103618,0.750451910994174,1.40154076961028,-1.17586427083678,3.81761141851235,-5.49295198738135
197506,1975-04-01,8.27409021326369,5.39333333333333,-2.88075687993035,3.07001615433933,-1.82168884770313,3.0623067969524,-3.27270766339858,-6.1014664146243,0.539162033511325,1.37128946942173,-1.1591590970339,3.75091823001193,-4.25204634935169
197509,1975-07-01,7.46420175602731,6.33,-1.13420175602731,6.55638790890762,0.790334812756477,3.02514973508979,4.08376075590624,-4.5196532907239,0.658611963296263,1.41162064328982,-1.13417189101931,3.81166116630443,-2.54582239931692
197512,1975-10-01,6.61372379289906,5.62666666666667,-0.987057126232395,5.35664429142528,2.5302659934999,2.92596899539198,5.70175756912796,-1.59781300756086,0.697782006625038,1.40908418928356,-1.14562205284734,3.82472889689066,-2.396141315516
197603,1976-01-01,5.84217598531143,4.91666666666667,-0.925509318644759,8.93220807268662,5.97881410683971,2.90533621970633,5.75382915055869,3.06665995304858,0.74287033277046,1.4128173438019,-1.11451876101268,3.82078213756924,-2.33832666244671
197606,1976-04-01,5.44883534679088,5.15666666666667,-0.292168680124215,3.01092995650478,5.96404255738108,2.93974484811642,0.895548466736074,4.10872398558224,0.694168880360948,1.42537675667637,-1.09997661093405,3.81546876380757,-1.71754543680029
197609,1976-07-01,5.09581869797668,5.15,0.0541813020233164,2.02870241980477,4.83212118510536,2.9194793135329,1.85360324836878,3.55118460869788,0.721166298840927,1.42918920701016,-1.09185639213608,3.8297573288635,-1.37500790498662
197612,1976-10-01,4.99855898710506,4.67333333333333,-0.325225653771729,2.99109675530644,4.24073430107565,2.90888741393685,0.872335767261845,2.34382915823135,0.765391063281911,1.42775291419346,-1.11420147950918,3.84863276508499,-1.75297856796546
197703,1977-01-01,5.67496733850321,4.63,-1.04496733850321,4.62718904806536,3.16447954492034,2.93318049066761,3.98954925857637,1.90275918523577,0.871126243183564,1.4441331557913,-1.07884260034501,3.86770830343478,-2.48910049429399
197706,1977-04-01,6.54125635471665,4.84,-1.70125635471665,7.77453904760179,4.35538181769459,3.11877540793326,8.8777290756898,3.8983043374742,1.19245589038124,1.52801171475822,-1.02469944400732,3.95883903053675,-3.22926806947489
197709,1977-07-01,6.53697831024829,5.49666666666667,-1.04031164358162,7.01470205027093,5.60188172531113,3.20818768548724,3.11486552574536,4.21361990681834,1.20884795834433,1.56659391515207,-0.986746555296117,4.01091434100514,-2.60690555873394
197712,1977-10-01,6.39464693358209,6.11,-0.284646933582093,0.0420079955162578,4.86460953536358,3.12906473270498,4.04536064453573,5.00687612613682,1.26438801984016,1.57329987435387,-0.99377025895331,4.04819894643268,-1.85794680793516
197803,1978-01-01,6.26960491109152,6.39333333333333,0.123728422241814,1.38935841778576,4.05515187779368,2.96276270955097,2.06942195052378,4.52684429912367,1.30736747141953,1.56351698330736,-0.989833007278294,4.00366417719984,-1.4397885610655
197806,1978-04-01,6.6134131243448,6.47666666666667,-0.136746457678136,15.2574456565446,5.92587853002939,3.17673866521476,11.1864559310774,5.10402601297058,1.51024307859026,1.64111953818105,-0.915508295351424,4.08856542013698,-1.77786599585967
197809,1978-07-01,6.85925288296869,7.31333333333333,0.454080450364642,3.8926558350127,5.14536697621484,3.20228776425791,3.24125081290916,5.13562233476152,1.53596346485505,1.65715224922132,-0.905961936548605,4.0915251593171,-1.2030717988561
197812,1978-10-01,7.307402292603,8.57,1.262597707397,5.32924980972496,6.46717742976701,3.29110913016915,4.31721170656516,5.20358510026888,1.58542156910542,1.7013163109879,-0.864514452252448,4.10095073521341,-0.438718603591289
197903,1979-01-01,7.51447635654827,9.38333333333333,1.86885697678506,0.793942251727486,6.31832338825244,3.15666270068654,2.78268230483114,5.38190018884572,1.5124399751559,1.6777666390872,-0.842138360392043,4.08407637732111,0.191090337697301
197906,1979-04-01,8.16286980260741,9.37666666666667,1.21379686405926,0.483956872042768,2.62495119212698,3.13674098208455,1.2034071592808,2.88613799589656,1.52160604113483,1.66625346258769,-0.85110057902771,4.04657898082472,-0.45245659852785
197909,1979-07-01,8.86032831145469,9.67333333333333,0.813005021878643,2.8619128774757,2.36726545274273,3.14589415129273,3.30597156198209,2.9023181831648,1.57510100631448,1.67449087184447,-0.835685772350713,4.05975639745454,-0.861485849965525
197912,1979-10-01,9.37534823565085,11.8433333333333,2.46798509768248,1.03419714089341,1.29350228553484,3.21549618448193,1.36610949490077,2.1645426302487,1.65799060975317,1.7346076851452,-0.808337041465853,4.07030525816179,0.733377412537147
198003,1980-01-01,10.4646560955766,13.3533333333333,2.88867723775677,1.29178686545757,1.41796343896736,3.26552910043008,-1.91183974630285,0.990912117465204,1.66275226374846,1.75670323569671,-0.776499124718346,4.10219658005536,1.13197400205975
198006,1980-04-01,10.189173310567,9.61666666666667,-0.572506643900345,-8.19593464801116,-0.75200944104612,3.04295186912965,-6.80804567767765,-1.01195109177441,1.59096175701031,1.65378846758457,-0.849397842636597,4.01180755833943,-2.22629511148514
