"FilteredMean","FilteredMedian","FilteredP005","FilteredP025","FilteredP05","FilteredP1586","FilteredP25","FilteredP75","FilteredP8413","FilteredP95","FilteredP975","FilteredP995","Date"
1.86810483436491,1.85187711195919,-1.21482409356224,-0.0690319649596951,0.344107078970342,1.0397389458281,1.32280986767687,2.40030852982939,2.70365416031891,3.42098337951493,3.88077674367697,5.24034227969695,1960
1.82315787291562,1.80746702974372,-1.2978733555653,-0.114027340953592,0.298030291660481,0.993941715447828,1.28213951780982,2.35559581292051,2.65618538259693,3.3744031540545,3.82409756551533,5.18294694202933,1960.25
1.75197137137669,1.74140687871015,-1.38635745136486,-0.189699622826545,0.218913971818008,0.924402097640384,1.2097231863263,2.28449533295116,2.58696542526141,3.30048950374693,3.74294005874399,5.12155533886101,1960.5
1.80951897832125,1.79838853988675,-1.30265881418701,-0.13920170120122,0.277251837950067,0.980225025937187,1.2651194894677,2.34529580339967,2.64843241806518,3.36893091013332,3.79764599847682,5.15507533275297,1960.75
1.81155669062172,1.79966613000588,-1.30109684810885,-0.138095613159994,0.283300890339951,0.977115800127303,1.26888568645903,2.34376668278445,2.64652599488628,3.36850105339278,3.79249370038505,5.16580006964348,1961
1.84213511807959,1.83043573558254,-1.24716764844498,-0.123636883892249,0.314292551736726,1.01732931797241,1.30441960234316,2.37087131939211,2.67380274454358,3.40161129757163,3.82262204408252,5.207134817016,1961.25
1.84924192856348,1.83845698030741,-1.25693816937455,-0.125315744714246,0.316569059778125,1.02044900108223,1.30616250589193,2.3841572142478,2.68256902379994,3.40334134452919,3.83739319481405,5.19654341484926,1961.5
1.82072808230718,1.80958238466277,-1.28409234894353,-0.142248672321142,0.299028413873951,0.999205411960311,1.28601860933902,2.34876215863283,2.64730848092756,3.36684121567976,3.79239877622584,5.14914801388581,1961.75
1.7893326600951,1.78009650611086,-1.31655872105251,-0.17465423531431,0.266736953064955,0.966442864245586,1.25772002012388,2.3161583608987,2.61578489575393,3.31997043393981,3.75755961081578,5.13732294230028,1962
1.75695966863415,1.74998362242144,-1.35831509586711,-0.218416008425949,0.220302296425283,0.934941260080844,1.22166312952055,2.28775646091167,2.58398275879387,3.28574171220748,3.72592201105035,5.09829314861546,1962.25
1.79302490930119,1.78306600551181,-1.31408194932434,-0.178402005257989,0.262419166271897,0.971663928669251,1.26082229070791,2.31906777575974,2.61573411731199,3.32071984735986,3.76242952585225,5.16463775502329,1962.5
1.75687057355885,1.75101019087773,-1.35155216021022,-0.20975360659237,0.227099405167747,0.938821718927578,1.22482924145769,2.28314425370989,2.5763532950226,3.28022811652698,3.7344257688766,5.12503392562492,1962.75
1.79937474289925,1.78989801042957,-1.33273268865485,-0.158237290455817,0.271140579313348,0.97938836453355,1.27017571602655,2.32576177198659,2.62298397044419,3.32129752267359,3.77087224383716,5.16418009015951,1963
1.81694422432308,1.80552690718096,-1.29845465269013,-0.141054163635538,0.285478070912657,0.992752098517034,1.28192762187804,2.34789134422951,2.64622258231699,3.34241585173646,3.79084476711195,5.18803590392243,1963.25
1.80324763876623,1.79238222264674,-1.29473521548552,-0.154379584618056,0.273435370705347,0.977239889809313,1.26903721180806,2.33585970354977,2.63144187720341,3.31944787931432,3.76889471315992,5.13443232995332,1963.5
1.83059369532671,1.81899714298536,-1.27083417610399,-0.126011339474002,0.302373010585791,1.0099102657019,1.29668907069286,2.36342063000999,2.65711084728377,3.34416728726237,3.78866395540376,5.18391978867648,1963.75
1.8335999006537,1.82055802876846,-1.25782679297006,-0.101783223412014,0.323491292618522,1.0161320851563,1.30097215512634,2.36345187415233,2.65515940971134,3.34326945540899,3.78739528153525,5.17762931889114,1964
1.82412917899912,1.81302465421707,-1.28360430042243,-0.111703511059311,0.325130899374294,1.00983281154801,1.29648941022105,2.35214590222117,2.64172702975016,3.32562338111309,3.76137591513337,5.16610937444215,1964.25
1.81274087734574,1.79638252885477,-1.26086571087476,-0.103290737355158,0.320793029451199,1.00430939395763,1.27961904742027,2.33786394921789,2.62708281284375,3.31573655583526,3.74884874225809,5.15140624698372,1964.5
1.80788281636259,1.79227622803795,-1.23472162401334,-0.0918141208397039,0.32693571377005,0.997517233571418,1.27985451900924,2.33192756744647,2.62667878773812,3.30394667098289,3.74894065540911,5.1642926024976,1964.75
1.81794162487804,1.80395510931453,-1.20891100174519,-0.0722090083556512,0.353752824675116,1.01489837303024,1.29022240836536,2.33350813533584,2.62949572157649,3.30261113242815,3.75554116228215,5.16691066388494,1965
1.8039393515142,1.78664814469039,-1.229248455962,-0.0724058892698398,0.349311583650339,1.00394593205487,1.27810921640855,2.32053324865318,2.60843308657425,3.2788125542144,3.73054207373257,5.16581137951112,1965.25
1.80065776761369,1.78440095818474,-1.23220489308904,-0.0630539357409408,0.348597080010057,1.00537055888051,1.27770244581686,2.31391736397123,2.60137869103685,3.27165067933235,3.71964389545182,5.15636899313369,1965.5
1.83451260249057,1.81630923038601,-1.19482741159109,-0.0188622340613822,0.388187357836392,1.0407089550785,1.30913392758623,2.35010556760854,2.63536598852214,3.31204259927186,3.75751628909671,5.18618923718809,1965.75
1.8473643087606,1.82716155600171,-1.18736142566696,0.00227722266816244,0.413137969618315,1.05525154708913,1.32377478715751,2.36013378659247,2.64591996428465,3.3213211649141,3.76290717163176,5.22340712918966,1966
1.83527235013924,1.81809323241818,-1.17870975498684,-0.0112418668361149,0.399394883481715,1.04150120427912,1.30930112092796,2.34712694023538,2.63393402673575,3.30427882011302,3.747530670763,5.1871423576784,1966.25
