2013.8,0.71144,0.69367
2014,0.71505,0.62023
2014.2,0.71727,0.81627
2014.5,0.7193,0.76531
2014.8,0.72136,0.73526
2015,0.723,0.66639
2015.2,0.72439,0.7109
2015.5,0.7262,0.73544
2015.8,0.72869,0.66005
2016,0.73115,0.71176
2016.2,0.73318,0.74798
2016.5,0.73495,0.72687
2016.8,0.73676,0.68835
2017,0.73811,0.68455
2017.2,0.73879,0.70076
2017.5,0.73898,0.66433
2017.8,0.73891,0.75852
2018,0.73891,0.73891
