"SmoothedMean","SmoothedMedian","SmoothedP005","SmoothedP025","SmoothedP05","SmoothedP1586","SmoothedP25","SmoothedP75","SmoothedP8413","SmoothedP95","SmoothedP975","SmoothedP995","Date"
1.16927656199301,1.22138306069892,-2.07624819487653,-0.816332328912555,-0.351557564321045,0.341436535441554,0.648678404245511,1.75694386193493,2.00229815391958,2.54572690170206,2.85123436357113,3.62756113877929,1960
1.14095912886833,1.19318080692358,-2.09590037710778,-0.827157914481553,-0.37494688686939,0.3168039785281,0.625453409331227,1.72731238464021,1.96922202651646,2.50750929190428,2.81261335765603,3.58493104800223,1960.25
1.08574339326286,1.13458052216467,-2.14582283771545,-0.878290437514895,-0.425847659972542,0.267315121954487,0.573529924181498,1.66553999369139,1.91232604355803,2.44784041266444,2.74657059768718,3.51165344899888,1960.5
1.11277579062443,1.16148446273135,-2.1144582441165,-0.847830361841694,-0.396151910398826,0.300037431172806,0.604673798027607,1.68966988594164,1.93574202067269,2.46744643814485,2.77530976659313,3.5496084709424,1960.75
1.1286732172462,1.17810908992818,-2.08724836069022,-0.837435071756957,-0.382771359568881,0.316713274803943,0.623873114030943,1.70339461328739,1.9501912489283,2.48572414282823,2.77605133440322,3.55297601767081,1961
1.14296215054,1.19256620360603,-2.07324274080657,-0.818638102481026,-0.360656720943254,0.335153665021741,0.637883143329436,1.71822445529755,1.96637308464515,2.49035201185561,2.7927000074184,3.57326787374577,1961.25
1.13732105795203,1.19045011482685,-2.08251943720859,-0.81251878884652,-0.373949023329022,0.330039197401186,0.631746895096963,1.70964912893636,1.95827277773017,2.47690534450508,2.7807198830132,3.5541166570868,1961.5
1.13828252775228,1.1897625764613,-2.06972113643475,-0.798063059949799,-0.365987302115414,0.336089549461916,0.636055288447855,1.70722168565075,1.95524528526426,2.47841865192884,2.78613523632304,3.56937521913605,1961.75
1.10272566804445,1.15178688692428,-2.12949343421222,-0.832142763576554,-0.401271915319755,0.304735819456598,0.605897067495725,1.66901915386514,1.91835439271585,2.44082214805117,2.74591109684009,3.53386711997966,1962
1.08008772888431,1.13086334395512,-2.1114053537835,-0.851200709441562,-0.414012713114082,0.28402141518778,0.582608396131917,1.64367307917722,1.89217113873892,2.41396896018878,2.71690970219172,3.49881344269399,1962.25
1.10367907543917,1.15154225401778,-2.10993201019108,-0.818074774223672,-0.376929987608553,0.311029964648826,0.605610010422708,1.66320572299902,1.91284879370062,2.43363771309654,2.7397164712118,3.50859169620371,1962.5
1.0870971503596,1.13697762126643,-2.093249236491,-0.830769555432565,-0.391768491909129,0.296171212983357,0.590905040014709,1.64579139626866,1.89431850949465,2.42050079550769,2.7269406691674,3.49943514312651,1962.75
1.11162654627939,1.16386320258703,-2.07942863064177,-0.795912955418163,-0.365968514283505,0.320912318047106,0.616623462448778,1.66521169820616,1.9139228323141,2.43669828214806,2.74401342592587,3.50998379186615,1963
1.11601626468725,1.16907612021524,-2.06177486172888,-0.791420751123553,-0.352010418170485,0.328679800513188,0.620160245799703,1.67213758193289,1.91578708555552,2.43983873677439,2.74558696565704,3.50903296304165,1963.25
1.11972859155712,1.17443134342278,-2.0290509263222,-0.777220710085397,-0.351309681227045,0.33601622648395,0.626882368844761,1.67289315467615,1.91726086153343,2.44052326143838,2.74801065129915,3.52642909673716,1963.5
1.14022272152637,1.19541607655069,-2.02843811244495,-0.756341047080924,-0.325533527932657,0.356511557182267,0.649013602866583,1.69262981421565,1.93333823943846,2.45985318765255,2.77026226738015,3.50948774784666,1963.75
1.14519001309613,1.20286425946203,-2.01732174679377,-0.74926815971072,-0.317225161028983,0.365735619676885,0.65530179257585,1.69535451468165,1.93768545965713,2.46223371058521,2.76971047021984,3.52314842052435,1964
1.14308743171665,1.19701652768431,-2.01612198016815,-0.744329858550874,-0.320349203750208,0.364616328080242,0.653152513477771,1.69340542623195,1.93348257865272,2.46231861222089,2.76574296523445,3.52408088432577,1964.25
1.13325297670021,1.18685815218918,-2.03066437198974,-0.753952501177673,-0.326678986184247,0.358082272506832,0.643227718955101,1.68038218463012,1.92257568326752,2.4454355893695,2.75365680649055,3.49528714162989,1964.5
1.13734684023096,1.18996289991244,-2.02654685370111,-0.752187538803033,-0.322079164596094,0.363635867748904,0.652310348198082,1.68441822011782,1.92538625951311,2.45003332358801,2.755697411444,3.52372263534468,1964.75
1.16109582468707,1.21144510421632,-2.02694647201559,-0.726500629154937,-0.288943238619604,0.389854490416981,0.676939995310421,1.70672749923759,1.94535986712089,2.47566590946642,2.7696850453577,3.54834482604027,1965
1.16013349415208,1.20811619833445,-1.98644056631334,-0.717446414891334,-0.290499447634691,0.390720880204501,0.676156711763201,1.70430144492381,1.94499346977105,2.46783323635476,2.76800276453933,3.56278928721686,1965.25
1.16053994245515,1.20932228755335,-1.9854601239402,-0.71786267228423,-0.282064323527226,0.391174847772341,0.676869101098939,1.7013204640725,1.94799065970448,2.4658866498872,2.76939042620157,3.57133217967343,1965.5
1.17433931480958,1.22255031604646,-1.95148862903664,-0.698867906451377,-0.265920123196931,0.404682050759622,0.69491184935695,1.71501798136147,1.96026052487616,2.47901831859881,2.78275481337706,3.56021722285709,1965.75
1.18230774965793,1.22708999371201,-1.91496112553656,-0.693489304338758,-0.261303402844199,0.411993128611872,0.698895547093799,1.7255717582433,1.96906477894834,2.48459946856365,2.78448935873984,3.58175938076215,1966
1.1798944139033,1.22409250823953,-1.91790174817634,-0.692535590695867,-0.260580663003083,0.408650843164427,0.697859825349425,1.72414846635073,1.96737737724816,2.48532147701305,2.77888521156319,3.55374531188933,1966.25
