"yyyymm","date","pi","tb3m","pistar.ptr","rstar","rstar.lb","rstar.ub","earr","eprr","pistar","pistar.lb","pistar.ub","pihat"
196112,1961-10-01,0.450273025540326,2.46,NA,1.18262711554756,-0.141669505568557,2.29302782864442,1.3920842019378,2.00972697445967,2.08401588404192,1.10187156680013,3.08007867316689,0.783833998915007
196203,1962-01-01,1.76617248907824,2.72333333333333,NA,1.18475474343118,-0.141642672738954,2.29814720975611,1.14393903736628,0.957160844255089,2.1019018527205,1.13011666007446,3.08511318306812,1.51583298482413
196206,1962-04-01,1.39395040485706,2.71666666666667,NA,1.18718198500785,-0.138323811003657,2.29703552488514,1.24656890990825,1.32271626180961,2.10948015040097,1.14868086492317,3.0822514105223,1.35620935409058
196209,1962-07-01,1.04042864842206,2.84,NA,1.18932555768487,-0.137753251248557,2.29889538168407,1.43821917871145,1.79957135157794,2.11683171031315,1.16974030354348,3.07802798575818,1.13179600576098
196212,1962-10-01,1.18575697312249,2.81333333333333,NA,1.19114672091123,-0.135189971971423,2.30013494385362,1.42513320714691,1.62757636021085,2.12754727677413,1.18737017077513,3.07478208308293,1.18416231033871
196303,1963-01-01,1.13798085289254,2.90666666666667,NA,1.19416172927072,-0.132509286767373,2.30247949037148,1.55182238969575,1.76868581377413,2.13832278857187,1.21074864452018,3.07478894096935,1.13831513074311
196306,1963-04-01,0.567778661690532,2.94,NA,1.19643549251574,-0.132595760855961,2.30229468854087,1.75184955473422,2.37222133830947,2.15021465497649,1.23288246870925,3.0728830032133,0.888534176064262
196309,1963-07-01,1.89657428857206,3.29333333333333,NA,1.20024556107099,-0.129961140208276,2.30516339002387,1.60576379130454,1.39675904476127,2.17319579482867,1.26923353434674,3.08437417603902,1.65515470701024
196312,1963-10-01,1.48597010466744,3.49666666666667,NA,1.2028351560304,-0.130259650330168,2.30705547424043,1.81646865228653,2.01069656199922,2.19054874440748,1.30264767460002,3.08422270163811,1.56434213210771
196403,1964-01-01,1.91700061688937,3.53,NA,1.20544366381406,-0.127110851750007,2.30867072872682,1.74460863766038,1.61299938311062,2.20492648331931,1.33301120125949,3.08448341802992,1.70771919379381
196406,1964-04-01,0.915166000601708,3.47666666666667,NA,1.20701411740384,-0.124361602914685,2.3088786550087,2.03171684369023,2.56150066606496,2.21255426287894,1.35351209362965,3.07390620151328,1.15777961119934
196409,1964-07-01,1.34714402700382,3.49666666666667,NA,1.20990551601192,-0.124137071130829,2.30966184531853,1.97680384538024,2.14952263966285,2.2279527393139,1.38919701716689,3.07015889173532,1.34530928775666
196412,1964-10-01,1.34982849224503,3.68333333333333,NA,1.21296795426153,-0.122531889894713,2.31278318898374,2.13386257581026,2.3335048410883,2.24695267137491,1.42197105638287,3.07471414024368,1.38729759743368
196503,1965-01-01,1.27346253451979,3.89,NA,1.21545823683147,-0.118282342328571,2.31405411737387,2.26222149063472,2.61653746548021,2.26722957778822,1.45758906648379,3.07696174912061,1.42312931076467
196506,1965-04-01,2.00627379846701,3.87333333333333,NA,1.21667607195573,-0.117413137382116,2.31817535712328,2.01798556574791,1.86705953486633,2.28525764577335,1.49701862555458,3.07429388044148,1.85517601681916
196509,1965-07-01,1.48388762804075,3.86666666666667,NA,1.21910678304513,-0.114610108923705,2.31690669326183,2.17112890390367,2.38277903862592,2.30090190707552,1.53565100632021,3.06675788115162,1.59920973408078
196512,1965-10-01,1.22291639719183,4.16666666666667,NA,1.22176681956317,-0.110918499289058,2.31736668492678,2.38810394522184,2.94375026947484,2.32471911829059,1.57951065950208,3.06345509107479,1.59706769163839
196603,1966-01-01,3.09739190009051,4.61,NA,1.22465265868432,-0.111031680277179,2.31932347239196,2.01400037874275,1.51260809990949,2.35923170012266,1.6410446513608,3.07670288014384,2.83609041355897
196606,1966-04-01,3.26927595133899,4.58666666666667,NA,1.22709610871767,-0.108558350995133,2.31948891621603,1.86228407816832,1.31739071532768,2.38050308862588,1.68903059811999,3.06992388957069,3.07966291704619
196609,1966-07-01,3.06253562359249,5.04333333333333,NA,1.23020311591989,-0.10727427964626,2.32466396336158,2.15637358494529,1.98079770974084,2.40123990249216,1.74032339978463,3.06537936859886,3.01025368185592
196612,1966-10-01,3.08743168898697,5.21,NA,1.23188145709237,-0.105916141716729,2.32487082060713,2.32544365909079,2.12256831101303,2.41525249427727,1.78651565615783,3.04635655353984,2.87332268543455
196703,1967-01-01,1.17482457803515,4.51333333333333,NA,1.23032304183926,-0.108659840877128,2.3220022669277,2.44836515138418,3.33850875529818,2.40550106691943,1.81031451545289,3.00122346242466,1.72993154906731
196706,1967-04-01,1.89578679973827,3.66,NA,1.22837823581434,-0.109251146756427,2.32084177494691,1.66753724392503,1.76421320026173,2.40789579797653,1.85004793257165,2.96406799144414,2.09586487923695
196709,1967-07-01,3.67012463642311,4.3,NA,1.23107909902658,-0.110070364776912,2.3214910488856,1.40478155824775,0.629875363576889,2.4426304584025,1.92876314956135,2.9570074908938,3.34946576402196
196712,1967-10-01,3.40874791407533,4.75333333333333,NA,1.23331200623191,-0.108337381590882,2.32284707916805,1.59411205010912,1.34458541925801,2.46824793656685,2.00457033375636,2.9306937550318,3.47817929702023
196803,1968-01-01,4.20389222685618,5.05,NA,1.23461977608694,-0.108826537482565,2.32364201606954,1.48350318474262,0.846107773143824,2.49109858363791,2.08824459122933,2.89553858322692,3.9713225177069
196806,1968-04-01,4.05504818437983,5.52,NA,1.23736549614517,-0.106184257395264,2.32390227797063,1.74067568655864,1.46495181562017,2.51047897513643,2.17989854650407,2.84055581819635,4.05975816741408
196809,1968-07-01,4.1184236738891,5.19666666666667,2.5154,1.23749211618263,-0.10546647117429,2.32423100409661,1.52717204122654,1.07824299277756,2.51571910932604,2.28713110650812,2.74502183942263,4.08321162738092
196812,1968-10-01,4.42393669586671,5.58666666666667,2.5154,1.23987433597798,-0.103283514761295,2.32692253643358,1.72305499824818,1.16272997079995,2.53239854138286,2.33332510060325,2.73286414470331,4.2792573170967
196903,1969-01-01,3.91083787719939,6.09333333333333,2.5154,1.24276427177495,-0.101335176271417,2.32794922972325,2.18280746580757,2.18249545613394,2.55901255853326,2.36650519998181,2.75125914084137,4.15984599409433
196906,1969-04-01,5.08859570577762,6.19666666666667,2.6198,1.24405145735355,-0.0999764179065049,2.32888710064059,1.9697761565198,1.10807096088905,2.61196386816963,2.4213440946778,2.80313139478305,4.82604023891294
196909,1969-07-01,4.88801907232421,7.02333333333333,2.6787,1.24812970482436,-0.0984144217586103,2.33295241806916,2.58624550177084,2.13531426100912,2.66432332893948,2.47378410034339,2.85486789278006,4.86163601238753
196912,1969-10-01,4.607975848905,7.35333333333333,2.6787,1.24944568687905,-0.097320962825513,2.33336253136211,2.95204798667597,2.74535748442833,2.69547467050774,2.50482635423229,2.88635065127473,4.67989172555983
197003,1970-01-01,4.60406865968235,7.21,2.6787,1.24933580780583,-0.0993851739897537,2.33179045718287,2.89065331732237,2.60593134031765,2.72608502245547,2.53486830778265,2.91752881088076,4.62751814915018
197006,1970-04-01,4.40759176598391,6.67666666666667,2.6787,1.24786838872683,-0.099994596800845,2.32990602515782,2.63557103776067,2.26907490068276,2.77558596240554,2.58439835193925,2.9671915821356,4.37224875610694
197009,1970-07-01,3.87221237530753,6.32666666666667,2.8353,1.24482032878328,-0.0998141350256341,2.32708241482166,2.39745018139731,2.45445429135914,2.88176695508746,2.69116810862596,3.07355618760106,4.09212414688318
197012,1970-10-01,5.15815979533425,5.35333333333333,3.0976,1.23984175688041,-0.104521953069684,2.32120395747116,1.17424086695915,0.195173537999084,3.00856572958478,2.81736029822211,3.19947980151235,4.68846454673117
197103,1971-01-01,3.774549985196,3.84,3.0976,1.23378920882951,-0.110812003770817,2.31217174852378,0.42736611143916,0.0654500148040036,3.06234645669131,2.87125638163255,3.25309781844318,3.86180363550982
197106,1971-04-01,4.53354377346891,4.25,3.0976,1.23386352856159,-0.112753050758241,2.31157124027992,0.409465370892812,-0.283543773468907,3.13312614583527,2.94258248443248,3.32470167481108,4.18597727500379
197109,1971-07-01,3.9194403010173,5.01,3.0976,1.23642687137444,-0.111783651989706,2.31323427047042,1.08422569112435,1.0905596989827,3.22692252754307,3.03604713960924,3.41784377848646,3.82023240717167
197112,1971-10-01,2.48051369988858,4.23,3.4937,1.2346953367442,-0.112247921074337,2.30959285619495,0.948940670425659,1.74948630011142,3.37076262612593,3.17975297045936,3.56039506738039,2.96967057221262
197203,1972-01-01,4.21044668861867,3.43666666666667,3.4937,1.23114047662822,-0.115962091596009,2.30543279222736,0.0123519370251578,-0.773780021952008,3.45151196143852,3.25999614208965,3.6416281260888,3.68401338188756
197206,1972-04-01,2.31146742631214,3.77,3.4937,1.23356561866849,-0.114230972674119,2.30795898965291,0.723820350325017,1.45853257368786,3.5141261693862,3.32337972579761,3.70524429322634,2.83252414719083
197209,1972-07-01,3.50305705918892,4.22,3.4937,1.23515319361197,-0.114060741394477,2.30913158776726,0.697212009734294,0.716942940811081,3.60721659013256,3.41585750832127,3.79780570876865,3.47922778474121
197212,1972-10-01,3.24827452338745,4.86333333333333,3.9173,1.23847173616343,-0.114062398901303,2.31146757692854,1.08972501193269,1.61505880994588,3.77573921561435,3.58387188409247,3.96602463544923,3.7363999563535
197303,1973-01-01,4.80996069942901,5.7,3.9173,1.24050425746848,-0.108592791839556,2.31308144256168,0.935693606444136,0.890039300570995,3.86991469745532,3.67823909699536,4.06053645759247,5.13439285761158
197306,1973-04-01,7.62325784357678,6.60333333333333,3.9173,1.24268328122113,-0.107352087133652,2.3135816599171,0.537960056578772,-1.01992451024345,3.942680182472,3.75126860600538,4.13362852487904,7.11645842431536
197309,1973-07-01,7.21498276828765,8.32333333333333,3.9173,1.24596408705649,-0.101824561635639,2.31687143960386,1.37498731577256,1.10835056504569,4.0240839372917,3.83241612911519,4.21697192948184,7.49639405939912
197312,1973-10-01,8.10984987254901,7.5,3.9173,1.24056687530484,-0.109708761805332,2.3108808949144,0.198589845028173,-0.609849872549013,4.12839910352395,3.93527878660867,4.32285637457859,8.31604855562258
197403,1974-01-01,11.7158133338993,7.61666666666667,4.211033333,1.23623571466128,-0.114016051871537,2.30634898103526,-1.24777723980503,-4.09914666723264,4.37802115201362,4.18680285413926,4.57150474726024,10.6959337261365
197406,1974-04-01,11.1654262728708,8.15333333333333,4.889733333,1.23479076438098,-0.115412390505415,2.30615125944858,-1.14474928370867,-3.01209293953745,4.71300749568833,4.52015798263227,4.9051213401218,10.716362300753
197409,1974-07-01,10.6650142217196,8.19,5.0722,1.23283554373314,-0.116229786932423,2.30116007668313,-1.13795708566403,-2.47501422171964,4.91716329910546,4.72273427883731,5.109773636753,10.2659660715932
197412,1974-10-01,10.0538564108387,7.36,5.0722,1.22846176174256,-0.118203474168153,2.2996656676188,-1.44554638542684,-2.69385641083869,5.00112374746901,4.80741136180947,5.19299424916135,9.54588919244274
197503,1975-01-01,7.48134796565552,5.75,5.0722,1.22333188619226,-0.125769941045251,2.29121572689951,-1.39719188369147,-1.73134796565552,5.01933441224178,4.82590110931814,5.21121468580281,7.47131214752889
197506,1975-04-01,4.8961422548409,5.39333333333333,5.095066667,1.22242770584038,-0.123243140067762,2.29076997788484,-0.545386669404879,0.497191078492437,5.03214361352658,4.83926684327998,5.22285507954917,5.69948075411393
197509,1975-07-01,7.42546039277414,6.33,5.1408,1.22512172847262,-0.120205735429945,2.29370866137566,-0.495381697004023,-1.09546039277414,5.0531406013266,4.86062456115109,5.24455654014256,7.01744075717881
197512,1975-10-01,6.6519445583257,5.62666666666667,5.1408,1.2242431556534,-0.120553965517812,2.29314505868425,-0.550400233885099,-1.02527789165903,4.98430740532983,4.79156408848115,5.17604396568551,6.4374568471114
197603,1976-01-01,4.39515673530497,4.91666666666667,4.878833333,1.22403861769935,-0.122654165147922,2.29304568192639,-0.0581961272682612,0.521509931361694,4.81024746136331,4.61904523769258,5.00129473393624,4.74893730461237
197606,1976-04-01,3.32277970075872,5.15666666666667,4.402866667,1.2252905351226,-0.123857620565799,2.29457027594749,0.566031029474809,1.83388696590795,4.61884643272137,4.42719707778879,4.81256092649814,4.12130865038065
197609,1976-07-01,6.01339379751735,5.15,4.4988,1.22541236278876,-0.124380219888447,2.29466451456422,-0.264525209796253,-0.863393797517352,4.57704408293126,4.38483041669955,4.76939893901254,5.7255480694002
197612,1976-10-01,6.26290571483921,4.67333333333333,4.4988,1.22422143271683,-0.128735755667869,2.29229274787568,-0.898318996440738,-1.58957238150587,4.56555472874715,4.37273817422389,4.75894066825863,6.13265258979824
197703,1977-01-01,7.10079014089757,4.63,4.4988,1.22266277126841,-0.130080783382152,2.2920049688742,-1.40765939693705,-2.47079014089757,4.59709571174922,4.40543252859216,4.7894637273558,6.67614096580088
197706,1977-04-01,6.78793576561247,4.84,4.616,1.22369454389758,-0.129378439027238,2.29041544378591,-1.25972168563757,-1.94793576561247,4.6855907154906,4.49386579350151,4.87750272196827,6.54947675024453
197709,1977-07-01,5.9962816196439,5.49666666666667,4.8504,1.22634656322606,-0.127143539513014,2.2942962388426,-0.526664528813718,-0.499614952977228,4.82064573556356,4.62973183040402,5.01268776932154,6.09752415349981
197712,1977-10-01,5.69358020817443,6.11,4.8504,1.22959566778174,-0.125175186305325,2.29820115131176,0.0741601332993486,0.416419791825569,4.93988904604736,4.74870085314885,5.13167813559659,5.96606517473368
197803,1978-01-01,6.60062205093528,6.39333333333333,5.038633333,1.23112864184385,-0.123903198915878,2.29986464614575,-0.0501087559090747,-0.207288717601945,5.11427675320751,4.9236010371986,5.30635682659163,6.68416764081228
197806,1978-04-01,8.1631686186256,6.47666666666667,5.4151,1.23138182389882,-0.124828416350113,2.29878656308529,-0.487723444305831,-1.68650195195894,5.33428725621336,5.14433995361433,5.52464208563775,7.67341926081229
197809,1978-07-01,6.97964065413945,7.31333333333333,5.4151,1.23468543294833,-0.121136323726292,2.30239522047787,0.398378036434947,0.333692679193882,5.50531274320737,5.31424972033097,5.69659898697501,7.21194122058991
197812,1978-10-01,7.48617784671168,8.57,5.659166667,1.23925319457373,-0.119034612089092,2.30767144964423,1.17621729358333,1.08382215328832,5.74507403589304,5.55415329804166,5.93649075325686,7.54774800897915
197903,1979-01-01,7.42891830671635,9.38333333333333,6.1473,1.24177715719611,-0.115457532228647,2.30920177821142,1.5806326827147,1.95441502661699,6.03074103442324,5.83940237540592,6.22096025317844,7.97349198727633
197906,1979-04-01,10.7567424028622,9.37666666666667,6.1473,1.24077656593881,-0.116798964921824,2.30782844618263,0.459282373968257,-1.38007573619548,6.24007321851191,6.0494222077522,6.43146513391717,10.0335080898124
197909,1979-07-01,9.76947468952858,9.67333333333333,6.7167,1.2422700916455,-0.118843414915422,2.30962013107168,0.905994907260327,-0.0961413561952451,6.49764453923897,6.30459619888288,6.68904183785131,9.72929471423023
197912,1979-10-01,9.54625754349632,11.8433333333333,6.7167,1.24858663558683,-0.112294951246558,2.31708485271423,2.46029675697824,2.29707578983702,6.64956183620941,6.45685827274015,6.84087879614429,9.74851245322505
198003,1980-01-01,11.7861497464192,13.3533333333333,6.7167,1.25272918148443,-0.109822483824718,2.31914806334972,2.66923315969025,1.56718358691413,6.74662578346549,6.55515847132856,6.93873924106288,11.1380123628658
198006,1980-04-01,9.65481126282395,9.61666666666667,6.7167,1.24193306363319,-0.121049473572682,2.30785256442581,0.959873519344323,-0.0381445961572808,6.75418984281452,6.56293115457296,6.94546861363232,9.58371399410823
198009,1980-07-01,9.2264189966933,9.15333333333333,6.7167,1.24090236963463,-0.120438468348928,2.30592998210457,1.10281233691405,-0.073085663359965,6.84593353775441,6.65400398138069,7.03768386550318,8.97548339604381
198012,1980-10-01,9.75643675332591,13.6133333333333,7.0525,1.25558978321575,-0.10484139457526,2.32288120827679,3.9591106982645,3.85689658000742,7.1064144304699,6.91568354424086,7.29775986454963,9.76591281586871
198103,1981-01-01,10.2406378782458,14.39,7.7241,1.26231396369914,-0.0992754967281287,2.32946454577944,4.93908230012528,4.14936212175419,7.34711727382636,7.14799130809498,7.54425430914999,9.7177695315816
198106,1981-04-01,6.61882756601528,14.9066666666667,7.47,1.26743454949919,-0.0945396938865466,2.33669820978267,6.96292340902135,8.28783910065138,7.32670238146132,7.13037814349836,7.52153152580025,7.31769319506386
198109,1981-07-01,6.50556574245265,15.0533333333333,7.22,1.26917451214658,-0.0918505313855453,2.33682518468489,7.438776543656,8.54776759088069,7.21775890908681,7.02360282916465,7.41035128327079,6.92548038593072
198112,1981-10-01,6.042750286203,11.75,7.33,1.26028382812454,-0.101165491973793,2.32917903429222,5.95690234953092,5.707249713797,7.06052923321712,6.86570153265475,7.25360324979427,6.03173324329162
198203,1982-01-01,4.99545519909184,12.8133333333333,6.76,1.26217090291929,-0.100607449393608,2.33215384492973,7.14575066065442,7.8178781342415,6.80374197073902,6.61268954504359,6.99385417619661,5.21042650890183
198206,1982-04-01,3.80249034831195,12.42,6.359999,1.25949865041968,-0.103328533743467,2.32918356499351,7.1494822310384,8.61750965168805,6.54981037638277,6.35790817216865,6.74216355184231,4.50036996462729
198209,1982-07-01,6.2564975496878,9.31666666666667,6.365573262,1.24769117654227,-0.113788639095976,2.31724563845898,4.29769641746811,3.06016911697887,6.37904220038738,6.18756939524354,6.57024746617699,5.44163547089543
198212,1982-10-01,4.42122920137376,7.90666666666667,6.199999,1.24090428984144,-0.123040586487525,2.31081883700092,3.71567558061415,3.48543746529291,6.2257155673675,6.03444373527761,6.41690084254777,4.31749139183911
198303,1983-01-01,3.44462974038375,8.10666666666667,5.92,1.23990060924312,-0.123790919898321,2.31210484003439,4.06940526099925,4.66203692628291,6.11973181820259,5.92692527827274,6.31199615046364,3.60642426970093
198306,1983-04-01,3.67476774470425,8.39666666666667,6.18,1.24100616417027,-0.1230693161674,2.31130268373266,4.17518452607404,4.72189892196241,6.15079897743729,5.96017411305983,6.34150498601311,3.82640160791836
198309,1983-07-01,5.23626564829556,9.14,6.229999,1.24223617533693,-0.117939663886385,2.31370942612557,4.25474721775463,3.90373435170444,6.17771760869357,5.98647185489292,6.36918949766418,4.69851193422242
