"yyyymm","date","pi","tb3m","pistar.ptr","rstar","rstar.lb","rstar.ub","earr","eprr","pistar","pistar.lb","pistar.ub","pihat"
196003,1960-01-01,0.543660410844815,3.87333333333333,NA,NA,NA,NA,NA,3.32967292248852,NA,NA,NA,NA
196006,1960-04-01,2.08355667101294,2.99333333333333,NA,NA,NA,NA,NA,0.90977666232039,NA,NA,NA,NA
196009,1960-07-01,1.52713989570294,2.36,NA,NA,NA,NA,NA,0.832860104297055,NA,NA,NA,NA
196012,1960-10-01,1.78564969489017,2.30666666666667,NA,NA,NA,NA,NA,0.521016971776499,NA,NA,NA,NA
196103,1961-01-01,0.739162618650191,2.35,NA,NA,NA,NA,NA,1.61083738134981,NA,NA,NA,NA
196106,1961-04-01,-0.0301431801197793,2.30333333333333,NA,NA,NA,NA,NA,2.33347651345311,NA,NA,NA,NA
196109,1961-07-01,1.4518253063212,2.30333333333333,NA,NA,NA,NA,NA,0.851508027012136,NA,NA,NA,NA
196112,1961-10-01,0.450273025540326,2.46,NA,NA,NA,NA,NA,2.00972697445967,NA,NA,NA,NA
196203,1962-01-01,1.76617248907824,2.72333333333333,NA,NA,NA,NA,NA,0.957160844255089,NA,NA,NA,NA
196206,1962-04-01,1.39395040485706,2.71666666666667,NA,NA,NA,NA,NA,1.32271626180961,NA,NA,NA,NA
196209,1962-07-01,1.04042864842206,2.84,NA,NA,NA,NA,NA,1.79957135157794,NA,NA,NA,NA
196212,1962-10-01,1.18575697312249,2.81333333333333,NA,NA,NA,NA,NA,1.62757636021085,NA,NA,NA,NA
196303,1963-01-01,1.13798085289254,2.90666666666667,NA,NA,NA,NA,NA,1.76868581377413,NA,NA,NA,NA
196306,1963-04-01,0.567778661690532,2.94,NA,NA,NA,NA,NA,2.37222133830947,NA,NA,NA,NA
196309,1963-07-01,1.89657428857206,3.29333333333333,NA,NA,NA,NA,NA,1.39675904476127,NA,NA,NA,NA
196312,1963-10-01,1.48597010466744,3.49666666666667,NA,NA,NA,NA,NA,2.01069656199922,NA,NA,NA,NA
196403,1964-01-01,1.91700061688937,3.53,NA,NA,NA,NA,NA,1.61299938311062,NA,NA,NA,NA
196406,1964-04-01,0.915166000601708,3.47666666666667,NA,NA,NA,NA,NA,2.56150066606496,NA,NA,NA,NA
196409,1964-07-01,1.34714402700382,3.49666666666667,NA,NA,NA,NA,NA,2.14952263966285,NA,NA,NA,NA
196412,1964-10-01,1.34982849224503,3.68333333333333,NA,NA,NA,NA,NA,2.3335048410883,NA,NA,NA,NA
196503,1965-01-01,1.27346253451979,3.89,NA,NA,NA,NA,NA,2.61653746548021,NA,NA,NA,NA
196506,1965-04-01,2.00627379846701,3.87333333333333,NA,NA,NA,NA,NA,1.86705953486633,NA,NA,NA,NA
196509,1965-07-01,1.48388762804075,3.86666666666667,NA,NA,NA,NA,NA,2.38277903862592,NA,NA,NA,NA
