"yyyymm","date","pi","tb3m","rr","rstar.mcmc","rstar.lb","rstar.ub"
196003,1960-01-01,1.66469581818416,3.87333333333333,2.20863751514917,1.39616596417565,-2.3548030288182,4.7075890157268
196006,1960-04-01,1.79150536892472,2.99333333333333,1.20182796440862,1.38041537780887,-2.36885420034097,4.69108323937928
196009,1960-07-01,1.58217845496185,2.36,0.777821545038153,1.37625198391286,-2.37656505356033,4.66141624708123
196012,1960-10-01,1.48500166811272,2.30666666666667,0.821664998553949,1.37854503722713,-2.34879614985221,4.65740377084304
196103,1961-01-01,1.53387722006406,2.35,0.816122779935939,1.37822750859747,-2.34336147069411,4.66190299544725
196106,1961-04-01,1.00545225728088,2.30333333333333,1.29788107605245,1.3853760667975,-2.33595408944211,4.65672168465
196109,1961-07-01,0.986623609935444,2.30333333333333,1.31670972339789,1.39082441568005,-2.33729407216717,4.66065560509132
196112,1961-10-01,0.652779442597984,2.46,1.80722055740202,1.39519728811241,-2.3149574432235,4.65045845882056
196203,1962-01-01,0.909531910204997,2.72333333333333,1.81380142312834,1.4010482465614,-2.30688692818124,4.65163403939497
196206,1962-04-01,1.26555530644921,2.71666666666667,1.45111136021746,1.39330885420395,-2.30197210688703,4.6256683216081
196209,1962-07-01,1.16270614197442,2.84,1.67729385802558,1.40326548599203,-2.28299023049036,4.62157329763636
196212,1962-10-01,1.34657712886996,2.81333333333333,1.46675620446337,1.40146018757874,-2.29569891209558,4.61309772999719
196303,1963-01-01,1.18952921982354,2.90666666666667,1.71713744684313,1.4078173042074,-2.28422341728489,4.61091574825039
196306,1963-04-01,0.982986284031906,2.94,1.95701371596809,1.40945529066195,-2.29442595718808,4.61491614285123
196309,1963-07-01,1.19702269406941,3.29333333333333,2.09631063926393,1.41332190359079,-2.2834242999959,4.60541351916592
196312,1963-10-01,1.27207597695564,3.49666666666667,2.22459068971102,1.41585487392449,-2.26705306922925,4.60247260495751
196403,1964-01-01,1.46683091795485,3.53,2.06316908204515,1.41648797653056,-2.27983636318618,4.59188287025088
196406,1964-04-01,1.55367775268265,3.47666666666667,1.92298891398402,1.41353027157969,-2.27633277552281,4.59070904564094
196409,1964-07-01,1.41632018729059,3.49666666666667,2.08034647937608,1.41318271718884,-2.25953223183818,4.59658735319795
196412,1964-10-01,1.38228478418498,3.68333333333333,2.30104854914835,1.42146183035688,-2.25322566889775,4.58732797820853
196503,1965-01-01,1.22140026359259,3.89,2.66859973640741,1.42638697187684,-2.23287046597514,4.60258301947946
196506,1965-04-01,1.49417721305891,3.87333333333333,2.37915612027442,1.42090569796274,-2.24457825049021,4.59207701256694
196509,1965-07-01,1.52836311331814,3.86666666666667,2.33830355334852,1.42441059457784,-2.2477479128422,4.58748264323336
196512,1965-10-01,1.49663508955484,4.16666666666667,2.67003157711182,1.43032497869671,-2.23720174677952,4.59015054059035
196603,1966-01-01,1.95261743094752,4.61,2.65738256905248,1.42851980262006,-2.24415212452311,4.59741866194937
196606,1966-04-01,2.26836796916552,4.58666666666667,2.31829869750115,1.4234919158268,-2.24554101606126,4.59703169338461
196609,1966-07-01,2.66302996805345,5.04333333333333,2.38030336527988,1.42629557135149,-2.23996200272007,4.58158701335968
196612,1966-10-01,3.12915879100224,5.21,2.08084120899776,1.41762337570114,-2.23460190034525,4.56398847452646
196703,1967-01-01,2.6485169604884,4.51333333333333,1.86481637284493,1.41694760369267,-2.23364353607038,4.54871424943271
196706,1967-04-01,2.30514467258822,3.66,1.35485532741178,1.40620383679805,-2.22351625412708,4.5357394727043
196709,1967-07-01,2.45704192579588,4.3,1.84295807420412,1.41223483387921,-2.21395626283773,4.52573614049706
196712,1967-10-01,2.53737098206797,4.75333333333333,2.21596235126537,1.41863856396142,-2.20352259021474,4.53305077527695
196803,1968-01-01,3.29463789427322,5.05,1.75536210572678,1.40920614926857,-2.2143110272742,4.5273278425782
196806,1968-04-01,3.83445324043361,5.52,1.68554675956639,1.4098844499534,-2.20380157767899,4.52579521852362
196809,1968-07-01,3.94652799980011,5.19666666666667,1.25013866686656,1.40164306873184,-2.21917603858306,4.51528020678832
196812,1968-10-01,4.20032519524796,5.58666666666667,1.38634147141871,1.40307092162542,-2.2070973838806,4.51814893561746
196903,1969-01-01,4.12706160783376,6.09333333333333,1.96627172549957,1.41218841384845,-2.19164173704553,4.52279270500042
196906,1969-04-01,4.38544848818321,6.19666666666667,1.81121817848346,1.41188891192134,-2.17785318591505,4.50709606091962
196909,1969-07-01,4.57784733779198,7.02333333333333,2.44548599554135,1.42208815523933,-2.18466120891711,4.53669637536725
196912,1969-10-01,4.62385712605156,7.35333333333333,2.72947620728178,1.423862719521,-2.17914152847295,4.51509518964697
197003,1970-01-01,4.7971648216723,7.21,2.4128351783277,1.41808679386346,-2.17519401097114,4.50988639825937
197006,1970-04-01,4.62691383672387,6.67666666666667,2.0497528299428,1.41332675582076,-2.19830638589652,4.50489005341188
197009,1970-07-01,4.3729621624697,6.32666666666667,1.95370450419697,1.4091179758166,-2.20074648588799,4.50400507985985
197012,1970-10-01,4.51050814907701,5.35333333333333,0.842825184256325,1.3887230517118,-2.20641046240517,4.48804694733483
197103,1971-01-01,4.30312848045542,3.84,-0.463128480455421,1.36480274943643,-2.25036712712912,4.46129846261093
197106,1971-04-01,4.33461648232667,4.25,-0.0846164823266697,1.37420681264544,-2.22447565593728,4.47137093283646
197109,1971-07-01,4.34642346375411,5.01,0.663576536245888,1.38337646295025,-2.20221617845195,4.47208502043682
197112,1971-10-01,3.67701193989269,4.23,0.552988060107307,1.3790256299415,-2.20590408875835,4.45538320556754
197203,1972-01-01,3.78598611574836,3.43666666666667,-0.349319449081697,1.36236023568542,-2.22841757143821,4.44787288756204
197206,1972-04-01,3.23046702895917,3.77,0.539532971040828,1.37876244548523,-2.21305654430544,4.45733889235741
197209,1972-07-01,3.12637121850208,4.22,1.09362878149792,1.38604673988253,-2.17413305987162,4.46355345504152
197212,1972-10-01,3.3183114243768,4.86333333333333,1.54502190895654,1.39275228386813,-2.1630922278497,4.47569346556998
197303,1973-01-01,3.46818992707938,5.7,2.23181007292062,1.40542093495144,-2.15079844681991,4.48115286910877
197306,1973-04-01,4.79613753139554,6.60333333333333,1.80719580193779,1.3954524292975,-2.16099043173201,4.46252574711844
197309,1973-07-01,5.72411895867022,8.32333333333333,2.59921437466311,1.41100490095356,-2.16106808011851,4.48458646692318
197312,1973-10-01,6.93951279596061,7.5,0.560487204039388,1.37163938689298,-2.19234041225382,4.43057046692347
197403,1974-01-01,8.66597595457819,7.61666666666667,-1.04930928791152,1.34563860660468,-2.22045664872815,4.40557584482666
197406,1974-04-01,9.55151806190169,8.15333333333333,-1.39818472856835,1.33955830473466,-2.22971051188229,4.41221652735712
197409,1974-07-01,10.4140259252597,8.19,-2.22402592525969,1.32603072130843,-2.23934778206808,4.38383753011745
197412,1974-10-01,10.9000275598321,7.36,-3.5400275598321,1.30116676437435,-2.25511871661585,4.36702459585025
197503,1975-01-01,9.84141121777116,5.75,-4.09141121777116,1.29249203127381,-2.2703178945055,4.34539898745156
197506,1975-04-01,8.27409021326369,5.39333333333333,-2.88075687993035,1.3159076776272,-2.25932026289565,4.35560256939412
197509,1975-07-01,7.46420175602731,6.33,-1.13420175602731,1.34738019726551,-2.21562610767988,4.39919998262533
197512,1975-10-01,6.61372379289906,5.62666666666667,-0.987057126232395,1.3543461080819,-2.21279730313108,4.39282993123225
197603,1976-01-01,5.84217598531143,4.91666666666667,-0.925509318644759,1.36155753498845,-2.19877995710442,4.38276050636248
197606,1976-04-01,5.44883534679088,5.15666666666667,-0.292168680124215,1.37560237762685,-2.17566427640569,4.40114141447278
197609,1976-07-01,5.09581869797668,5.15,0.0541813020233164,1.38370955472503,-2.17620576184404,4.4175552848006
197612,1976-10-01,4.99855898710506,4.67333333333333,-0.325225653771729,1.38129304589558,-2.17570097794196,4.40012641459515
197703,1977-01-01,5.67496733850321,4.63,-1.04496733850321,1.37042155166105,-2.19534797885537,4.39573266219262
197706,1977-04-01,6.54125635471665,4.84,-1.70125635471665,1.36296064114793,-2.21495271138885,4.38304328458884
197709,1977-07-01,6.53697831024829,5.49666666666667,-1.04031164358162,1.37835885135702,-2.2026799488746,4.38994947089214
197712,1977-10-01,6.39464693358209,6.11,-0.284646933582093,1.39774501085293,-2.18466882000045,4.38810310046053
197803,1978-01-01,6.26960491109152,6.39333333333333,0.123728422241814,1.40643784510076,-2.18358431108593,4.41437980053492
197806,1978-04-01,6.6134131243448,6.47666666666667,-0.136746457678136,1.40820460495502,-2.16952218182484,4.39613164909412
197809,1978-07-01,6.85925288296869,7.31333333333333,0.454080450364642,1.4249816030727,-2.14614397178609,4.41437799026273
197812,1978-10-01,7.307402292603,8.57,1.262597707397,1.4465853390189,-2.13736149206912,4.4297990067628
197903,1979-01-01,7.51447635654827,9.38333333333333,1.86885697678506,1.46115546578444,-2.13740721523067,4.43742673227947
197906,1979-04-01,8.16286980260741,9.37666666666667,1.21379686405926,1.45376276328574,-2.15439465440086,4.42216624692762
197909,1979-07-01,8.86032831145469,9.67333333333333,0.813005021878643,1.44973092414387,-2.14744581505068,4.40107970823646
197912,1979-10-01,9.37534823565085,11.8433333333333,2.46798509768248,1.48435155151184,-2.11357310200093,4.43003335635252
198003,1980-01-01,10.4646560955766,13.3533333333333,2.88867723775677,1.49394893667704,-2.10161226973295,4.43955570756305
198006,1980-04-01,10.189173310567,9.61666666666667,-0.572506643900345,1.43708002638362,-2.16901721561114,4.38336569197852
198009,1980-07-01,10.0534093873582,9.15333333333333,-0.90007605402486,1.43908809004582,-2.18699920624543,4.37608418900181
198012,1980-10-01,10.1059541898156,13.6133333333333,3.50737914351774,1.52076616990586,-2.11512633652596,4.46500993040547
198103,1981-01-01,9.71957622277224,14.39,4.67042377722776,1.54586573515889,-2.08309252813368,4.48171930679963
198106,1981-04-01,8.96058029857008,14.9066666666667,5.94608636809659,1.57504848117981,-2.05283158563011,4.50459805998157
198109,1981-07-01,8.28036698500991,15.0533333333333,6.77296634832342,1.59327461201933,-2.03570456968782,4.51708863890892
198112,1981-10-01,7.35194536822918,11.75,4.39805463177082,1.55713062072105,-2.08083915098214,4.47936810078545
198203,1982-01-01,6.04064969844069,12.8133333333333,6.77268363489264,1.59981228082804,-2.04205331329175,4.51690316432033
198206,1982-04-01,5.33656539401486,12.42,7.08343460598514,1.60427298654465,-2.04513256946534,4.50981637023674
198209,1982-07-01,5.27429834582365,9.31666666666667,4.04236832084302,1.55328078890085,-2.09844937374565,4.44075225297236
198212,1982-10-01,4.86891807461634,7.90666666666667,3.03774859205033,1.53957811898517,-2.12600857647971,4.43077464541807
198303,1983-01-01,4.48121170993931,8.10666666666667,3.62545495672735,1.55444218217194,-2.11888220013358,4.43535238608147
198306,1983-04-01,4.44928105903739,8.39666666666667,3.94738560762928,1.55737543745077,-2.10830262466419,4.42606150409937
198309,1983-07-01,4.19422308368933,9.14,4.94577691631067,1.57355475355553,-2.07841609983874,4.45192405943558
